Country,Total Cases,New Cases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
USA,33476781,+22200,595812 ,+241,26439712,6441257,8977,100634,1791,458168303,1377291,332659090 ,North America
India,22662410,+366499,246146 ,+3748,18665266,3750998,8944,16286,177,302275471,217219,1391568121 ,Asia
Brazil,15184790,+34162,422418 ,+934,13714135,1048237,8318,71007,1975,46834128,219006,213848364 ,South America
France,5777087,+9128,106392 ,+115,4874224,796471,4971,88339,1627,79015258,1208241,65396910 ,Europe
Turkey,5031332,+15191,43029 ,+283,4716918,271385,3081,59114,506,49390141,580294,85112315 ,Asia
Russia,4880262,+8419,113326 ,+334,4496132,270804,2300,33429,776,131400000,900074,145987952 ,Europe
UK,4434860,+1770,127605 ,+2,4248211,59044,163,65036,1871,163171777,2392885,68190397 ,Europe
Italy,4111210,+8292,122833 ,+139,3604523,383854,2192,68082,2034,61097024,1011778,60385788 ,Europe
Spain,3567408,,78792 ,,3248010,240606,2183,76275,1685,47213067,1009468,46770258 ,Europe
Germany,3527540,+8290,85371 ,+119,3159200,282969,5049,41988,1016,56836969,676528,84012757 ,Europe
Argentina,3147740,+11582,67325 ,+283,2817165,263250,5294,69106,1478,11821485,259532,45549324 ,South America
Colombia,3002758,+17222,77854 ,+495,2819874,105030,6006,58482,1516,15436162,300636,51345002 ,South America
Poland,2833052,+3852,70012 ,+147,2569501,193539,2138,74926,1852,14794397,391271,37811163 ,Europe
Iran,2654811,+14141,74910 ,+386,2109702,470199,5538,31267,882,17069126,201030,84908308 ,Asia
Mexico,2364617,+2743,218928 ,+271,1884008,261681,4798,18177,1683,6751476,51900,130087038 ,North America
Ukraine,2119510,+5372,46393 ,+193,1759751,313366,177,48715,1066,9655779,221927,43508768 ,Europe
Peru,1845056,,63826 ,,1720665,60565,2670,55303,1913,11624047,348414,33362768 ,South America
Indonesia,1713684,+3922,47012 ,+170,1568277,98395,,6209,170,15222730,55157,275988146 ,Asia
Czechia,1645061,+717,29667 ,+10,1575449,39945,366,153372,2766,19893984,1854752,10725956 ,Europe
South Africa,1596595,+1778,54735 ,+11,1516256,25604,546,26634,913,10887709,181627,59945412 ,Africa
