Country,Total Cases,New Cases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
USA,33321244,+46129,593148 ,+743,26035314,6692782,9406,100173,1783,453081055,1362085,332637917 ,North America
India,21070852,+412618,230151 ,+3982,17269076,3571625,8944,15143,165,294852078,211907,1391419959 ,Asia
Brazil,14936464,+75652,414645 ,+2791,13529572,992247,8318,69851,1939,46616516,218005,213831876 ,South America
France,5706378,+26000,105631 ,+244,4729418,871329,5402,87260,1615,77308259,1182168,65395336 ,Europe
Turkey,4955594,+26476,41883 ,+356,4589501,324210,3418,58231,492,48459224,569423,85102402 ,Asia
Russia,4847489,+7975,111895 ,+360,4464550,271044,2300,33205,766,130200000,891859,145987270 ,Europe
UK,4425940,+2144,127570 ,+27,4237913,60457,181,64909,1871,160653676,2356092,68186507 ,Europe
Italy,4070400,+10585,122005 ,+267,3541266,407129,2368,67406,2020,59879330,991597,60386756 ,Europe
Spain,3551262,+6317,78566 ,+167,3232926,239770,2231,75930,1680,47213067,1009472,46770061 ,Europe
Germany,3469448,+21266,84593 ,+308,3084700,300155,5049,41298,1007,56836969,676551,84009837 ,Europe
Argentina,3071496,+24079,65865 ,+663,2734465,271166,5342,67439,1446,11502946,252563,45544796 ,South America
Colombia,2934611,+14806,76015 ,+388,2754940,103656,6006,57161,1481,15126871,294646,51339078 ,South America
Poland,2811947,+3892,68483 ,+350,2540684,202780,2469,74367,1811,14546443,384708,37811614 ,Europe
Iran,2591609,+15872,73568 ,+349,2039427,478614,5499,30527,867,16511987,194495,84896558 ,Asia
Mexico,2352964,+3064,217740 ,+395,1875211,260013,4798,18090,1674,6678270,51343,130072243 ,North America
Ukraine,2090986,+2576,45077 ,+161,1697358,348551,177,48056,1036,9487141,218037,43511624 ,Europe
Peru,1824457,+5768,62976 ,+302,1720665,40816,2660,54694,1888,11411358,342090,33357747 ,South America
Indonesia,1691658,+5285,46349 ,+212,1547092,98217,,6130,168,14947019,54164,275956555 ,Asia
Czechia,1639263,+2420,29504 ,+40,1569737,40022,473,152834,2751,19088160,1779659,10725740 ,Europe
South Africa,1588221,+2073,54557 ,+46,1510385,23279,546,26498,910,10773227,179742,59937240 ,Africa
Netherlands,1531800,+7273,17245 ,+24,1290245,224310,808,89230,1005,12762141,743418,17166850 ,Europe
Canada,1257328,+7378,24450 ,+54,1151207,81671,1456,33070,643,32127668,845005,38020682 ,North America
Chile,1222949,+3885,26726 ,+30,1160945,35278,3260,63516,1388,13303828,690953,19254323 ,South America
Iraq,1091954,+5813,15640 ,+32,979041,97273,538,26647,382,9524638,232431,40978427 ,Asia
Philippines,1073535,+5665,17800 ,+178,992920,62815,750,9688,161,12037543,108635,110806740 ,Asia
Romania,1060895,+1564,28616 ,+142,1002985,29294,1121,55460,1496,8342560,436117,19129172 ,Europe
Sweden,1002121,+6525,14125 ,+1,820831,167165,403,98709,1391,8798383,866638,10152313 ,Europe
Belgium,999627,+2731,24367 ,+45,876674,98586,795,85937,2095,12694315,1091314,11632138 ,Europe
Pakistan,841636,+4113,18429 ,+119,738727,84480,5211,3749,82,12010519,53502,224488668 ,Asia
Israel,838767,+70,6370 ,+1,831218,1179,91,91194,693,14315208,1556409,9197590 ,Asia
Portugal,838102,+387,16983 ,+2,798414,22705,83,82396,1670,10731329,1055029,10171594 ,Europe
Hungary,785967,+1130,28173 ,+128,538965,218829,511,81535,2923,5454661,565858,9639632 ,Europe
Bangladesh,767338,+1742,11755 ,+50,698465,57118,1093,4621,71,5560678,33484,166069827 ,Asia
Jordan,716923,+1220,8988 ,+33,696524,11411,729,69683,874,6781275,659121,10288355 ,Asia
Serbia,695875,+1402,6478 ,+22,651260,38137,145,79916,744,3881861,445800,8707632 ,Europe
Switzerland,667380,+1795,10685 ,+18,598040,58655,220,76641,1227,7029684,807275,8707920 ,Europe
Austria,626239,+1644,10311 ,+20,595877,20051,447,69200,1139,33241683,3673238,9049695 ,Europe
Japan,612360,+4075,10470 ,+50,538946,62944,1114,4854,83,12082418,95779,126149387 ,Asia
Lebanon,530217,+1012,7390 ,+22,473114,49713,494,77978,1087,4055483,596428,6799614 ,Asia
UAE,529220,+1954,1601 ,+3,509658,17961,,52970,160,45058538,4509973,9990867 ,Asia
Morocco,512656,+371,9043 ,+5,499491,4122,160,13752,243,6301680,169044,37278402 ,Africa
Malaysia,424376,+3744,1591 ,+17,389846,32939,328,12972,49,9738804,297690,32714546 ,Asia
Saudi Arabia,422316,+1016,7018 ,+12,405607,9691,1346,11974,199,17238146,488760,35269120 ,Asia
Bulgaria,407827,+1635,16773 ,+164,344895,46159,599,59069,2429,2556505,370282,6904204 ,Europe
Ecuador,393048,+1806,18907 ,+44,329582,44559,620,21997,1058,1314996,73595,17868040 ,South America
Slovakia,384317,+708,11886 ,+31,365618,6813,286,70364,2176,2691638,492805,5461874 ,Europe
Panama,365975,+356,6252 ,+4,355828,3895,105,83713,1430,2430628,555979,4371796 ,North America
Belarus,363732,+1138,2592 ,+10,354212,6928,,38504,274,5920422,626719,9446699 ,Europe
Nepal,359610,+8605,3475 ,+58,289783,66352,,12159,117,2558051,86489,29576449 ,Asia
Greece,352027,+2091,10764 ,+96,318466,22797,765,33914,1037,8244918,794306,10380023 ,Europe
Croatia,339412,+2494,7315 ,+51,319962,12135,246,83111,1791,1846554,452159,4083862 ,Europe
Kazakhstan,332369,+2298,3796 ,+34,284371,44202,221,17525,200,10405087,548631,18965538 ,Asia
Azerbaijan,323841,+1080,4617 ,+20,298949,20275,,31699,452,3289864,322028,10216091 ,Asia
Georgia,315913,+2171,4207 ,+24,296532,15174,,79321,1056,4263112,1070407,3982701 ,Asia
Tunisia,315600,+1448,11122 ,+106,269653,34825,529,26471,933,1339297,112332,11922647 ,Africa
Bolivia,310572,+1588,13082 ,+47,255928,41562,130,26304,1108,1205274,102083,11806815 ,South America
Palestine,299736,+815,3317 ,+21,279652,16767,136,57634,638,1763038,339000,5200703 ,Asia
