Country,Total Cases,New Cases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
USA,32927091,+52046,587384 ,+885,25521913,6817794,9863,99000,1766,442210652,1329575,332595570 ,North America
India,17988637,+362902,201165 ,+3285,14807704,2979768,8944,12931,145,280979877,201981,1391123637 ,Asia
Brazil,14446541,+76085,395324 ,+3120,12992442,1058775,8318,67571,1849,43538104,203640,213798900 ,South America
France,5534313,+30317,103603 ,+333,4442319,988391,5943,84633,1584,75122498,1148799,65392188 ,Europe
Russia,4779425,+8053,108980 ,+392,4402678,267767,2300,32739,747,128200000,878167,145985907 ,Europe
Turkey,4710582,+43301,39057 ,+346,4167263,504262,3549,55365,459,46435343,545768,85082577 ,Asia
UK,4409631,+2685,127451 ,+17,4202311,79869,227,64678,1869,151605651,2223650,68178729 ,Europe
Italy,3981512,+10404,119912 ,+373,3413451,448149,2748,65931,1986,57574570,953400,60388692 ,Europe
Spain,3496134,+7665,77855 ,+117,3186967,231312,2331,74752,1665,46199597,987811,46769666 ,Europe
Germany,3326778,+19009,82698 ,+354,2931400,312680,5049,39603,984,54061332,643557,84003996 ,Europe
Argentina,2905172,+25495,62599 ,+512,2563223,279350,5134,63800,1375,10887878,239106,45535740 ,South America
Colombia,2804881,+17578,72235 ,+436,2616821,115825,6006,54647,1407,14541843,283316,51327231 ,South America
Poland,2768034,+5709,65897 ,+460,2467036,235101,3041,73204,1743,14057613,371771,37812517 ,Europe
Iran,2438193,+20963,70532 ,+462,1907190,460471,5287,28728,831,15435147,181862,84873060 ,Asia
Mexico,2329534,+1143,215113 ,+166,1853789,260632,4798,17914,1654,6544421,50325,130042652 ,North America
Ukraine,2038248,+7915,42950 ,+432,1596829,398469,177,46838,987,9292051,213525,43517337 ,Europe
Peru,1775062,+6876,60416 ,+403,1688091,26555,2642,53229,1812,10964758,328801,33347705 ,South America
Indonesia,1651794,+4656,44939 ,+168,1506599,100256,,5987,163,14414113,52245,275893373 ,Asia
Czechia,1622804,+2575,29119 ,+47,1542058,51627,685,151306,2715,17388713,1621279,10725307 ,Europe
South Africa,1577200,+880,54237 ,+51,1502986,19977,546,26321,905,10567593,176359,59920897 ,Africa
Netherlands,1472674,+5337,17093 ,+31,1235375,220206,814,85790,996,12274847,715066,17166024 ,Europe
Canada,1194989,+7071,24065 ,+41,1086611,84313,1355,31436,633,31064387,817194,38013456 ,North America
Chile,1179772,+4158,26020 ,+45,1113463,40289,3406,61284,1352,12884978,669324,19250741 ,South America
Romania,1049539,+2019,27683 ,+172,979445,42411,1336,54858,1447,8154764,426238,19131962 ,Europe
Iraq,1045010,+7152,15348 ,+45,920523,109139,539,25514,375,9198959,224591,40958650 ,Asia
Philippines,1013618,+7204,16916 ,+63,925027,71675,750,9150,153,11584435,104576,110774857 ,Asia
Belgium,976088,+1670,24065 ,+41,842039,109984,886,83921,2069,12312900,1058624,11631038 ,Europe
Sweden,953254,,13968 ,+32,779504,159782,392,93908,1376,8482276,835615,10150939 ,Europe
Israel,838217,+110,6359 ,+6,830205,1653,138,91134,691,14129277,1536193,9197590 ,Asia
Portugal,834991,+353,16970 ,+5,794205,23816,86,82085,1668,10348599,1017337,10172241 ,Europe
Pakistan,804939,+4487,17329 ,+142,699816,87794,5075,3587,77,11632913,51841,224394761 ,Asia
Hungary,772707,+1253,26984 ,+183,491620,254103,753,80155,2799,5308624,550678,9640166 ,Europe
Bangladesh,751659,+3031,11228 ,+78,666927,73504,,4527,68,5395524,32497,166033991 ,Asia
Jordan,706355,+1815,8707 ,+47,675212,22436,729,68671,846,6649640,646466,10286143 ,Asia
Serbia,683799,+2145,6286 ,+29,626756,50757,171,78522,722,3800708,436442,8708398 ,Europe
Switzerland,653957,+2135,10587 ,+3,581714,61656,237,75111,1216,6818583,783157,8706538 ,Europe
Austria,612170,+1625,10126 ,+28,577977,24067,520,67654,1119,31263052,3455026,9048573 ,Europe
Japan,571040,+3319,10004 ,+32,508388,52648,916,4526,79,11550594,91557,126157812 ,Asia
Lebanon,522763,+1182,7197 ,+26,453865,61701,665,76874,1058,3953121,581317,6800279 ,Asia
UAE,514591,+2094,1578 ,+5,495589,17424,,51520,158,43461963,4351307,9988255 ,Asia
Morocco,509972,+507,9005 ,+6,496031,4936,201,13684,242,6234597,167287,37268842 ,Africa
Saudi Arabia,414219,+1045,6922 ,+9,397587,9710,1277,11748,196,16708703,473908,35257261 ,Asia
Bulgaria,401109,+1850,16182 ,+81,332418,52509,714,58087,2343,2479203,359027,6905341 ,Europe
Malaysia,398451,+2733,1462 ,+13,371575,25414,294,12183,45,9182353,280759,32705482 ,Asia
Slovakia,380498,+488,11572 ,+41,360507,8419,332,69665,2119,2597742,475619,5461816 ,Europe
Ecuador,375329,+554,18389 ,+89,318598,38342,614,21012,1029,1265839,70867,17862181 ,South America
Panama,363533,+368,6216 ,+4,353503,3814,105,83182,1422,2366942,541596,4370310 ,North America
Belarus,354669,+823,2512 ,+10,344950,7207,,37544,266,5797755,613729,9446767 ,Europe
Greece,337723,+3287,10179 ,+92,291153,36391,813,32532,981,7947301,765553,10381131 ,Europe
Croatia,324833,+1797,6957 ,+52,304546,13330,261,79530,1703,1772515,433971,4084413 ,Europe
Azerbaijan,315119,+1307,4429 ,+27,282786,27904,,30851,434,3206917,313970,10214096 ,Asia
Kazakhstan,311400,+2284,3599 ,+29,265940,41861,221,16424,190,9986401,526691,18960630 ,Asia
Nepal,307925,+4364,3194 ,+18,278506,26225,,10415,108,2432089,82262,29564980 ,Asia
Georgia,305850,+1578,4060 ,+17,287938,13852,,76791,1019,4097911,1028885,3982867 ,Asia
Tunisia,303584,+1957,10444 ,+92,253058,40082,527,25469,876,1292538,108435,11919946 ,Africa
Bolivia,298778,+1119,12861 ,+37,246673,39244,71,25313,1090,1121454,95012,11803334 ,South America
Palestine,293466,+1414,3201 ,+17,267346,22919,140,56456,616,1728362,332499,5198104 ,Asia
Paraguay,271814,+2461,6094 ,+92,223606,42114,563,37730,846,1078036,149638,7204277 ,South America
Kuwait,269681,+1446,1535 ,+8,252888,15258,216,62394,355,2297745,531610,4322236 ,Asia
Dominican Republic,265481,+78,3462 ,+3,222466,39553,185,24274,317,1397223,127751,10937056 ,North America
Ethiopia,254044,+924,3605 ,+35,195547,54892,985,2166,31,2561247,21838,117283988 ,Africa
Moldova,249714,+329,5762 ,+17,238423,5529,225,62021,1431,975620,242315,4026249 ,Europe
Denmark,248950,+624,2479 ,+2,236925,9546,36,42856,427,36241371,6238880,5808955 ,Europe
Ireland,247489,+420,4884 ,+10,229667,12938,47,49667,980,4416913,886402,4982967 ,Europe
Costa Rica,243167,+1927,3186 ,+18,201784,38197,340,47380,621,953061,185700,5132250 ,North America
Lithuania,242926,+1031,3877 ,+13,219678,19371,217,90276,1441,2740888,1018565,2690931 ,Europe
Slovenia,238023,+807,4221 ,+7,223686,10116,161,114480,2030,1164206,559937,2079173 ,Europe
Egypt,224517,+1003,13168 ,+61,168665,42684,90,2161,127,2677262,25765,103910846 ,Africa
Guatemala,223025,+1086,7453 ,+25,199005,16567,5,12263,410,1232471,67769,18186285 ,North America
Armenia,214064,+595,4058 ,+18,195701,14305,,72129,1367,969969,326832,2967794 ,Asia
Honduras,207320,+413,5193 ,+52,77814,124313,596,20663,518,608949,60692,10033418 ,North America
Qatar,203599,+695,441 ,+4,184712,18446,384,72512,157,1889194,672837,2807805 ,Asia
Bosnia and Herzegovina,196732,+761,8418 ,+68,157095,31219,,60273,2579,897655,275016,3264008 ,Europe
Venezuela,193721,+1223,2082 ,+17,176058,15581,322,6828,73,3359014,118402,28369636 ,South America
Oman,191398,+1128,1992 ,+9,170929,18477,283,36720,382,1550000,297366,5212425 ,Asia
Uruguay,190096,+2747,2452 ,+61,160632,27012,534,54569,704,1759810,505167,3483618 ,South America
Libya,176254,+501,3010 ,+5,161676,11568,,25368,433,951588,136963,6947762 ,Africa
Bahrain,173548,+972,626 ,+1,162537,10385,101,99194,358,4044433,2311666,1749575 ,Asia
Nigeria,164912,+156,2063 ,+1,155012,7837,11,784,10,1912628,9095,210302759 ,Africa
Kenya,157492,+511,2665 ,+22,106836,47991,205,2877,49,1651008,30162,54737482 ,Africa
North Macedonia,151122,+450,4742 ,+28,130910,15470,124,72540,2276,713139,342312,2083304 ,Europe
Myanmar,142740,+18,3207 ,,131945,7588,,2609,59,2568811,46954,54709058 ,Asia
Albania,130736,+130,2383 ,+4,107163,21190,18,45470,829,626544,217912,2875212 ,Europe
Algeria,121344,+232,3225 ,+8,84598,33521,20,2727,72,230861,5188,44497985 ,Africa
Estonia,120836,+459,1148 ,+3,108968,10720,59,91041,865,1269907,956783,1327268 ,Europe
S. Korea,119898,+511,1820 ,+3,109695,8383,156,2337,35,8721609,169994,51305454 ,Asia
Latvia,116132,+596,2110 ,+4,105828,8194,84,62136,1129,2239254,1198105,1868996 ,Europe
Norway,111686,+524,736 ,,88952,21998,40,20470,135,5129127,940088,5456007 ,Europe
Cuba,103524,+1083,604 ,+7,97462,5458,80,9144,53,3564773,314883,11320930 ,North America
Sri Lanka,103487,+1111,655 ,+8,94856,7976,,4816,30,2538334,118134,21486973 ,Asia
Montenegro,96930,+151,1478 ,+5,92975,2477,69,154315,2353,371662,591695,628131 ,Europe
Kyrgyzstan,94277,+247,1589 ,+5,88415,4273,25,14258,240,972359,147055,6612191 ,Asia
