Country,Total Cases,New Cases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
USA,33418826,+49491,594911 ,+777,26324757,6499158,9140,100463,1788,455989831,1370786,332648503 ,North America
India,21886611,+401326,238265 ,+4194,17917085,3731261,8944,15729,171,298601699,214591,1391494040 ,Asia
Brazil,15087360,+78337,419393 ,+2217,13640478,1027489,8318,70554,1961,46616516,217997,213840120 ,South America
France,5747214,+19124,106101 ,+235,4817523,823590,5106,87883,1622,78205751,1195877,65396123 ,Europe
Turkey,4998089,+20107,42465 ,+278,4662328,293296,3260,58727,499,48963800,575318,85107359 ,Asia
Russia,4863514,+8386,112622 ,+376,4480360,270532,2300,33315,771,130600000,894596,145987611 ,Europe
UK,4431043,+2490,127598 ,+15,4242192,61253,163,64982,1871,163171777,2392953,68188452 ,Europe
Italy,4092745,+10552,122470 ,+207,3572713,397562,2253,67776,2028,60532582,1002423,60386272 ,Europe
Spain,3567408,+8186,78792 ,+66,3248010,240606,2183,76275,1685,47213067,1009470,46770160 ,Europe
Germany,3504012,+17550,85056 ,+245,3128800,290156,5049,41709,1012,56836969,676540,84011297 ,Europe
Argentina,3118134,+22552,66872 ,+609,2777902,273360,5268,68460,1468,11683923,256524,45547060 ,South America
Colombia,2968626,+17525,76867 ,+453,2788751,103008,6006,57821,1497,15283737,297685,51342040 ,South America
Poland,2824431,+6053,69445 ,+453,2555059,199927,2296,74698,1837,14678781,388211,37811389 ,Europe
Iran,2627094,+17076,74241 ,+335,2074089,478764,5534,30943,874,16789338,197749,84902433 ,Asia
Mexico,2358831,+2846,218173 ,+166,1879713,260945,4798,18134,1677,6714852,51621,130079641 ,North America
Ukraine,2105428,+8404,45830 ,+379,1731162,328436,177,48389,1053,9594857,220520,43510196 ,Europe
Peru,1839465,+6794,63519 ,+296,1720665,55281,2666,55139,1904,11555688,346391,33360257 ,South America
Indonesia,1703632,+6327,46663 ,+167,1558423,98546,,6173,169,15099282,54713,275972350 ,Asia
Czechia,1642704,+1572,29632 ,+36,1575257,37815,411,153154,2763,19585985,1826055,10725848 ,Europe
South Africa,1592326,+1956,54687 ,+67,1513202,24437,546,26565,912,10831738,180706,59941326 ,Africa
Netherlands,1546070,+7481,17290 ,+22,1302085,226695,789,90060,1007,12762141,743409,17167057 ,Europe
Canada,1273169,+7849,24529 ,+40,1167422,81218,1331,33485,645,32408919,852362,38022488 ,North America
Chile,1235778,+6530,27004 ,+109,1170437,38337,3176,64179,1402,13432114,697583,19255219 ,South America
Iraq,1103950,+5763,15702 ,+29,992423,95825,533,26937,383,9606567,234402,40983371 ,Asia
Philippines,1087870,+7718,18099 ,+108,1003025,66746,750,9817,163,12173692,109856,110814711 ,Asia
Romania,1063949,+1422,28799 ,+89,1009237,25913,1041,55621,1506,8419526,440157,19128475 ,Europe
Sweden,1007792,,14173 ,+36,835458,158161,403,99264,1396,8798383,866609,10152657 ,Europe
Belgium,1007264,+3518,24444 ,+38,880267,102553,757,86591,2101,12821364,1102210,11632413 ,Europe
Pakistan,850131,+4298,18677 ,+140,747755,83699,5177,3787,83,12101832,53903,224512144 ,Asia
Israel,838858,+30,6375 ,+1,831432,1051,87,91204,693,14346755,1559839,9197590 ,Asia
Portugal,838852,+377,16989 ,+1,799442,22421,75,82471,1670,10832463,1064989,10171433 ,Europe
Hungary,789188,+1541,28403 ,+106,553836,206949,445,81870,2947,5494198,569967,9639499 ,Europe
Bangladesh,770842,+1682,11833 ,+37,704341,54668,1115,4641,71,5599276,33715,166078786 ,Asia
Jordan,718632,+702,9047 ,+33,699460,10125,729,69845,879,6814404,662306,10288909 ,Asia
Serbia,698518,+1277,6519 ,+20,655869,36130,131,80221,749,3907936,448804,8707441 ,Europe
Switzerland,670613,+1546,10702 ,+7,601958,57953,212,77009,1229,7088449,813991,8708265 ,Europe
Austria,628817,+1333,10351 ,+18,599854,18612,417,69483,1144,33990188,3755832,9049975 ,Europe
Japan,620468,+3818,10589 ,+72,546042,63837,1131,4919,84,12241999,97045,126147280 ,Asia
UAE,532710,+1766,1607 ,+3,513068,18035,,53316,161,45466777,4550537,9991520 ,Asia
Lebanon,531834,+600,7436 ,+21,478482,45916,472,78217,1094,4083753,600601,6799448 ,Asia
Morocco,513314,+298,9057 ,+8,500192,4065,138,13769,243,6320534,169539,37280793 ,Africa
Malaysia,432425,+4498,1632 ,+22,396004,34789,375,13217,50,9904314,302729,32716812 ,Asia
Saudi Arabia,424445,+1039,7045 ,+13,407650,9750,1311,12033,200,17389803,493019,35272085 ,Asia
Bulgaria,409495,+1123,16886 ,+86,347870,44739,570,59313,2446,2577231,373300,6903920 ,Europe
Ecuador,396888,+1561,19061 ,+43,329582,48245,620,22210,1067,1327106,74267,17869505 ,South America
Slovakia,385022,+362,11946 ,+26,366715,6361,264,70492,2187,2704901,495232,5461888 ,Europe
Nepal,377603,+9023,3579 ,+50,295395,78629,,12766,121,2598405,87845,29579317 ,Asia
Panama,366762,+398,6258 ,+3,356520,3984,105,83886,1431,2448142,559938,4372167 ,North America
Belarus,366305,+1354,2612 ,+10,356842,6851,,38776,276,5958089,630707,9446682 ,Europe
Greece,358116,+2671,10910 ,+63,322282,24924,754,34501,1051,8386740,807991,10379746 ,Europe
Croatia,342487,+1435,7388 ,+33,323834,11265,242,83866,1809,1863305,456276,4083725 ,Europe
Kazakhstan,337652,+2840,3858 ,+25,291829,41965,221,17802,203,10455458,551252,18966765 ,Asia
Azerbaijan,325407,+722,4650 ,+15,302860,17897,,31851,455,3311267,324107,10216590 ,Asia
Georgia,319266,+1547,4245 ,+18,298807,16214,,80164,1066,4316833,1083907,3982659 ,Asia
Tunisia,318236,+1226,11277 ,+69,274270,32689,529,26690,946,1350359,113254,11923323 ,Africa
Bolivia,314190,+1783,13151 ,+28,258068,42971,158,26609,1114,1226152,103844,11807685 ,South America
Palestine,300946,+559,3338 ,+12,283570,14038,102,57859,642,1770081,340312,5201353 ,Asia
Paraguay,294233,+2693,6974 ,+91,242915,44344,567,40828,968,1139296,158089,7206670 ,South America
Kuwait,282981,+1209,1628 ,+7,266917,14436,206,65445,377,2388785,552453,4323963 ,Asia
Dominican Republic,269958,+774,3517 ,+3,230945,35496,229,24676,321,1428975,130619,10940026 ,North America
