Country,Total Cases,New Cases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
USA,32735704,+66515,585075 ,+790,25296047,6854582,9832,98431,1759,437068081,1314196,332574397 ,North America
India,16602456,+345147,189549 ,+2621,13862119,2550788,8944,11936,136,274445653,197304,1390975476 ,Asia
Brazil,14238110,+65971,386623 ,+2866,12711103,1140384,8318,66601,1808,43538104,203656,213782412 ,South America
France,5440946,+32340,102496 ,+332,4276282,1062168,5962,83207,1567,73826703,1129011,65390614 ,Europe
Russia,4744961,+8840,107501 ,+398,4371214,266246,2300,32503,736,127100000,870636,145985225 ,Europe
Turkey,4550820,+49438,37672 ,+343,3970111,543037,3475,53493,443,45342795,532989,85072664 ,Asia
UK,4401109,+2678,127385 ,+40,4177375,96349,261,64556,1869,147468783,2163097,68174839 ,Europe
Italy,3935703,+14761,118699 ,+342,3351461,465543,2979,65172,1966,56565755,936679,60389660 ,Europe
Spain,3468617,+11731,77591 ,+95,3163849,227177,2297,74164,1659,44374223,948786,46769469 ,Europe
Germany,3261764,+23710,81936 ,+243,2865000,314828,5049,38830,975,54061332,643579,84001076 ,Europe
Argentina,2824652,+27884,61176 ,+556,2474514,288962,4805,62038,1344,10608118,232986,45531211 ,South America
Poland,2742122,+10858,64707 ,+539,2401457,275958,3223,72518,1711,13901801,367646,37812968 ,Europe
Colombia,2740544,+19925,70446 ,+420,2555619,114479,5306,53400,1373,14233891,277349,51321307 ,South America
Iran,2358809,+22904,68746 ,+380,1850791,439272,5107,27796,810,14966149,176360,84861311 ,Asia
Mexico,2319519,+3708,214095 ,+498,1841964,263460,4798,17839,1647,6487007,49889,130027857 ,North America
Ukraine,2004630,+14277,41700 ,+434,1552267,410663,177,46062,958,9130606,209802,43520193 ,Europe
Peru,1745655,+11049,59012 ,+408,1670805,15838,2642,52355,1770,10723364,321611,33342684 ,South America
Indonesia,1632248,+5436,44346 ,+174,1487369,100533,,5917,161,14111521,51154,275861782 ,Asia
Czechia,1615481,+2630,28898 ,+51,1523842,62741,814,150626,2694,16723255,1559265,10725091 ,Europe
South Africa,1572985,+1637,54066 ,+71,1499110,19809,546,26255,902,10481576,174947,59912725 ,Africa
Netherlands,1445064,+9210,17016 ,+14,1203943,224105,836,84184,991,11781337,686334,17165611 ,Europe
Canada,1164587,+8753,23883 ,+61,1054348,86356,1312,30639,628,30559306,803984,38009844 ,North America
Chile,1155902,+7582,25641 ,+109,1084831,45430,3391,60050,1332,12644024,656868,19248949 ,South America
Romania,1042521,+2523,27113 ,+170,963840,51568,1391,54487,1417,8059758,421241,19133357 ,Europe
Iraq,1018321,+8017,15174 ,+46,891007,112140,553,24868,371,9035177,220646,40948762 ,Asia
Philippines,979740,+8719,16529 ,+159,860412,102799,750,8846,149,11410805,103024,110758916 ,Asia
Belgium,964526,+4357,23909 ,+42,815371,125246,935,82931,2056,12156374,1045216,11630488 ,Europe
Sweden,938343,,13923 ,+32,759702,164718,403,92445,1372,8151774,803111,10150252 ,Europe
Israel,837892,+85,6346 ,,829696,1850,157,91099,690,14049710,1527543,9197590 ,Asia
Portugal,833397,+506,16957 ,+1,791751,24689,98,81926,1667,10155322,998305,10172565 ,Europe
Pakistan,784108,+5870,16842 ,+144,682290,84976,4652,3495,75,11431241,50953,224347808 ,Asia
Hungary,764394,+3427,26208  ,+207,474147,264039,844,79290,2719,5233530,542873,9640433 ,Europe
Bangladesh,739703,+3629,10869 ,+88,647674,81160,,4456,65,5303008,31943,166016073 ,Asia
Jordan,699164,+1677,8514 ,+40,661432,29218,729,67979,828,6581824,639942,10285037 ,Asia
Serbia,675904,+2384,6164 ,+34,611539,58201,207,77612,708,3754852,431157,8708781 ,Europe
Switzerland,646509,+2113,10566 ,+11,577630,58313,238,74261,1214,6723694,772319,8705848 ,Europe
Austria,604823,+2329,10055 ,+29,568213,26555,517,66846,1111,30186461,3336253,9048013 ,Europe
Japan,551898,+5465,9800 ,+36,494882,47216,816,4375,78,11273132,89354,126162025 ,Asia
Lebanon,518104,+1504,7090 ,+33,441631,69383,682,76185,1043,3903562,574002,6800612 ,Asia
Morocco,508530,+592,8983 ,+7,494415,5132,212,13647,241,6205236,166521,37264062 ,Africa
UAE,506845,+1973,1567 ,+2,488664,16614,,50751,157,42698466,4275426,9986950 ,Asia
Saudi Arabia,410191,+1098,6878 ,+9,393671,9642,1205,11636,195,16477359,467425,35251332 ,Asia
Bulgaria,396302,+1708,15826 ,+105,323877,56599,751,57386,2292,2434235,352486,6905909 ,Europe
Malaysia,387535,+2847,1415 ,+8,363608,22512,260,11851,43,8923973,272896,32700950 ,Asia
Slovakia,378635,+485,11405 ,+48,255300,111930,387,69324,2088,2533929,463938,5461787 ,Europe
Ecuador,371306,+5913,18062 ,+97,309541,43703,632,20791,1011,1254985,70271,17859251 ,South America
Panama,362358,+366,6200 ,+2,352255,3903,105,82928,1419,2339492,535406,4369567 ,North America
Belarus,350221,+1735,2473 ,+10,340660,7088,,37073,262,5741652,607788,9446801 ,Europe
Greece,329134,+2739,9864 ,+76,285692,33578,819,31703,950,7758817,747356,10381684 ,Europe
Croatia,318837,+2529,6784 ,+46,295885,16168,221,78057,1661,1743017,426720,4084688 ,Europe
Azerbaijan,309789,+1809,4307 ,+33,274766,30716,,30333,422,3164974,309894,10213098 ,Asia
Georgia,301535,+1271,3992 ,+11,284286,13257,,75706,1002,4003466,1005151,3982951 ,Asia
Kazakhstan,300733,+2894,3512 ,+29,257278,39943,221,15863,185,9772184,515460,18958176 ,Asia
Tunisia,296343,+2205,10170 ,+107,246001,40172,485,24864,853,1265222,106155,11918595 ,Africa
Nepal,294601,+2449,3122 ,+5,276755,14724,,9966,106,2388200,80794,29559245 ,Asia
Bolivia,294391,+1330,12758 ,+27,243064,38569,71,24945,1081,1093293,92639,11801593 ,South America
Palestine,289120,+1440,3138 ,+23,259105,26877,147,55634,604,1704190,327930,5196805 ,Asia
Kuwait,264198,+1432,1502 ,+9,247136,15560,222,61135,348,2265300,524187,4321546 ,Asia
Dominican Republic,263470,+535,3448 ,+7,220678,39344,182,24092,315,1385268,126672,10935868 ,North America
Paraguay,263134,+2752,5715 ,+82,215702,41717,525,36530,793,1052387,146098,7203319 ,South America
Ethiopia,249292,+1303,3511 ,+15,188080,57701,968,2126,30,2535226,21622,117252772 ,Africa
Moldova,248518,+509,5691 ,+23,235965,6862,235,61723,1413,961447,238789,4026351 ,Europe
Denmark,246463,+702,2472 ,+5,234341,9650,42,42430,426,34371324,5917182,5808732 ,Europe
Ireland,245743,+433,4867 ,+1,227298,13578,48,49323,977,4351054,873291,4982365 ,Europe
Lithuania,239310,+1325,3835 ,+16,215820,19655,192,88918,1425,2690299,999612,2691343 ,Europe
Costa Rica,236930,+1656,3136 ,+11,199982,33812,281,46170,611,932115,181637,5131742 ,North America
Slovenia,235711,+900,4195 ,+8,220505,11011,158,113368,2018,1149750,552985,2079170 ,Europe
Egypt,220658,+884,12959 ,+45,166024,41675,90,2124,125,2677262,25770,103889720 ,Africa
Guatemala,219789,+1644,7374 ,+29,194964,17451,5,12088,406,1209697,66530,18182658 ,North America
