Country,Total Cases,New Cases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
USA,32669189,+67138,584285 ,+926,25236658,6848246,9962,98231,1757,435438612,1309297,332574397 ,North America
India,16257309,+332503,186928 ,+2256,13641606,2428775,8944,11688,134,272705103,196053,1390975476 ,Asia
Brazil,14172139,+49344,383757 ,+2070,12673785,1114597,8318,66292,1795,43090398,201562,213782412 ,South America
France,5408606,+34318,102164 ,+283,4243176,1063266,5981,82712,1562,73468365,1123531,65390614 ,Europe
Russia,4736121,+8996,107103 ,+397,4361807,267211,2300,32442,734,126800000,868581,145985225 ,Europe
Turkey,4501382,+54791,37329 ,+354,3909935,554118,3463,52912,439,45040704,529438,85072664 ,Asia
UK,4398431,+2729,127345 ,+18,4171798,99288,276,64517,1868,147468783,2163097,68174839 ,Europe
Italy,3920942,+16229,118357 ,+360,3330392,472193,3021,64927,1960,56250055,931452,60389660 ,Europe
Spain,3456886,+10814,77496 ,+132,3156955,222435,2283,73913,1657,44374223,948786,46769469 ,Europe
Germany,3238054,+29382,81693 ,+311,2845300,311061,5049,38548,973,54061332,643579,84001076 ,Europe
Argentina,2796768,+27216,60620 ,+537,2449793,286355,4791,61425,1331,10521258,231078,45531211 ,South America
Poland,2731264,+12770,64168 ,+694,2380787,286309,3229,72231,1697,13767550,364096,37812968 ,Europe
Colombia,2720619,+19306,70026 ,+430,2538020,112573,5306,53011,1364,14134970,275421,51321307 ,South America
Iran,2335905,+24092,68366 ,+453,1837590,429949,5038,27526,806,14854140,175040,84861311 ,Asia
Mexico,2315811,+4639,213597 ,+549,1839381,262833,4798,17810,1643,6463391,49708,130027857 ,North America
Ukraine,1990353,+16235,41266 ,+470,1533303,415784,177,45734,948,9089301,208852,43520193 ,Europe
Peru,1734606,+7800,58604 ,+343,1661792,14210,2614,52024,1758,10650847,319436,33342684 ,South America
Indonesia,1626812,+6243,44172 ,+165,1481449,101191,,5897,160,14111521,51154,275861782 ,Asia
Czechia,1612851,+2950,28847 ,+60,1523611,60393,862,150381,2690,16478838,1536475,10725091 ,Europe
South Africa,1571348,+1413,53995 ,+55,1496756,20597,546,26227,901,10447673,174382,59912725 ,Africa
Netherlands,1435854,+9611,17002 ,+20,1196384,222468,828,83647,990,11781337,686334,17165611 ,Europe
Canada,1155834,+8370,23822 ,+59,1045244,86768,1312,30409,627,30411387,800092,38009844 ,North America
Chile,1148320,+6917,25532 ,+179,1081117,41671,3375,59656,1326,12574563,653260,19248949 ,South America
Romania,1039998,+2989,26943 ,+150,959126,53929,1405,54355,1408,8022449,419291,19133357 ,Europe
Iraq,1010304,+8450,15128 ,+30,884181,110995,525,24672,369,8989021,219519,40948762 ,Asia
Philippines,971021,+8739,16370 ,+105,846600,108051,750,8767,148,11352726,102499,110758916 ,Asia
Belgium,960169,+5113,23867 ,+33,815404,120898,926,82556,2052,12107176,1040986,11630488 ,Europe
Sweden,938343,+6251,13891 ,,752021,172431,403,92445,1369,8151774,803111,10150252 ,Europe
Israel,837807,+315,6346 ,,829424,2037,161,91090,690,14014683,1523734,9197590 ,Asia
Portugal,832891,+636,16956 ,+4,791171,24764,104,81876,1667,10047412,987697,10172565 ,Europe
Pakistan,778238,+5857,16698 ,+98,676605,84935,4593,3469,74,11377423,50713,224347808 ,Asia
Hungary,760967,+3607,26001 ,+214,469592,265374,876,78935,2697,5205923,540009,9640433 ,Europe
Bangladesh,736074,+4014,10781 ,+98,642449,82844,,4434,65,5277112,31787,166016073 ,Asia
Jordan,697487,+2097,8474 ,+45,658287,30726,729,67816,824,6564997,638306,10285037 ,Asia
Serbia,673520,+2719,6130 ,+35,608270,59120,219,77338,704,3741146,429583,8708781 ,Europe
Switzerland,644396,+2265,10555 ,+9,575624,58217,248,74019,1212,6692508,768737,8705848 ,Europe
Austria,602494,+2405,10026 ,+29,565513,26955,527,66589,1108,29905570,3305209,9048013 ,Europe
Japan,546433,+5299,9764 ,+54,491661,45008,805,4331,77,11177177,88594,126162025 ,Asia
Lebanon,516600,+1512,7057 ,+30,437808,71735,717,75964,1038,3870650,569162,6800612 ,Asia
Morocco,507938,+600,8976 ,+7,493873,5089,221,13631,241,6195702,166265,37264062 ,Africa
UAE,504872,+2081,1565 ,+4,486920,16387,,50553,157,42496398,4255193,9986950 ,Asia
Saudi Arabia,409093,+1055,6869 ,+11,392448,9776,1182,11605,195,16414039,465629,35251332 ,Asia
Bulgaria,394594,+1681,15721 ,+103,321400,57473,781,57139,2276,2419383,350335,6905909 ,Europe
Malaysia,384688,+2875,1407 ,+7,361267,22014,248,11764,43,8849606,270622,32700950 ,Asia
Slovakia,378150,+677,11357 ,+53,255300,111493,387,69236,2079,2527366,462736,5461787 ,Europe
Ecuador,365393,+2550,17965 ,+161,309541,37887,636,20460,1006,1244265,69671,17859251 ,South America
Panama,361992,+314,6198  ,+2,351949,3845,105,82844,1418,2330456,533338,4369567 ,North America
Belarus,348486,+1170,2463 ,+10,338927,7096,,36889,261,5723427,605859,9446801 ,Europe
Greece,326395,+2756,9788 ,+75,284050,32557,822,31440,943,7692455,740964,10381684 ,Europe
Croatia,316308,+2885,6738 ,+46,293454,16116,226,77437,1650,1734234,424570,4084688 ,Europe
Azerbaijan,307980,+2047,4274 ,+39,272575,31131,,30155,418,3153877,308807,10213098 ,Asia
Georgia,300264,+1226,3981 ,+10,283557,12726,,75387,1000,3974715,997932,3982951 ,Asia
Kazakhstan,297839,+2893,3483 ,+24,254971,39385,221,15710,184,9709890,512174,18958176 ,Asia
Tunisia,294138,+2305,10063 ,+70,244517,39558,498,24679,844,1257117,105475,11918595 ,Africa
Bolivia,293061,+1386,12731 ,+36,241563,38767,71,24832,1079,1082188,91698,11801593 ,South America
Nepal,292152,+2365,3117 ,+5,276345,12690,,9884,105,2379402,80496,29559245 ,Asia
Palestine,287680,+1652,3115 ,+19,256559,28006,153,55357,599,1698129,326764,5196805 ,Asia
Dominican Republic,262935,+531,3441 ,+6,220159,39335,183,24043,315,1381990,126372,10935868 ,North America
Kuwait,262766,+1459,1493 ,+11,245824,15449,229,60804,345,2256129,522065,4321546 ,Asia
Paraguay,260382,+2676,5633 ,+72,213710,41039,503,36148,782,1045978,145208,7203319 ,South America
Moldova,248009,+618,5668 ,+25,235054,7287,242,61596,1408,955644,237347,4026351 ,Europe
Ethiopia,247989,+1505,3496 ,+22,185107,59386,1059,2115,30,2528645,21566,117252772 ,Africa
Denmark,245761,+893,2467 ,+2,233614,9680,44,42309,425,33781913,5815712,5808732 ,Europe
Ireland,245310,+615,4866 ,+10,226628,13816,48,49236,977,4351054,873291,4982365 ,Europe
Lithuania,237985,+1379,3819 ,+15,215031,19135,201,88426,1419,2671655,992685,2691343 ,Europe
Costa Rica,235274,+1776,3125 ,+10,199779,32370,281,45847,609,932115,181637,5131742 ,North America
Slovenia,234811,+745,4187 ,+11,219232,11392,154,112935,2014,1144379,550402,2079170 ,Europe
Egypt,219774,+872,12914 ,+48,165348,41512,90,2115,124,2677262,25770,103889720 ,Africa
Guatemala,218145,+1816,7345 ,+36,194075,16725,5,11997,404,1198336,65905,18182658 ,North America
Armenia,211399,+881,3969 ,+25,191158,16272,,71232,1337,951500,320615,2967734 ,Asia
Honduras,203359,+946,4981 ,+5,77020,121358,546,20272,497,567813,56602,10031695 ,North America
Qatar,199980,+800,407 ,+7,177164,22409,449,71223,145,1862459,663315,2807805 ,Asia
Bosnia and Herzegovina,194371,+1256,8164 ,+82,152007,34200,,59546,2501,884114,270849,3264230 ,Europe
Venezuela,188063,+1318,1987 ,+22,171043,15033,293,6629,70,3359014,118398,28370512 ,South America
Oman,185278,+1508,1942 ,+16,165051,18285,266,35555,373,1550000,297448,5211002 ,Asia
Uruguay,175891,+3290,2160 ,+77,145464,28267,514,50493,620,1693215,486069,3483486 ,South America
Libya,174216,+533,2936 ,+12,159630,11650,,25079,423,940305,135359,6946740 ,Africa
Bahrain,168201,+1036,614 ,+7,156981,10606,97,96174,351,3967761,2268686,1748925 ,Asia
