Country,Total Cases,New Cases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
USA,32983695,+56604,588337 ,+954,25584747,6810611,9867,99169,1769,443986997,1334894,332600863 ,North America
India,18368096,+379459,204812 ,+3647,15078276,3085008,8944,13203,147,282703789,203214,1391160677 ,Asia
Brazil,14523807,+77266,398343 ,+3019,13091714,1033750,8318,67931,1863,43538104,203637,213803022 ,South America
France,5565852,+31539,103918 ,+315,4470590,991344,5879,85114,1589,75184385,1149739,65392581 ,Europe
Russia,4787273,+7848,109367 ,+387,4411098,266808,2300,32793,749,128500000,880221,145986077 ,Europe
Turkey,4751026,+40444,39398 ,+341,4212461,499167,3558,55839,463,46718604,549081,85085055 ,Asia
UK,4411797,+2166,127480 ,+29,4206327,77990,227,64708,1870,153652532,2253640,68179701 ,Europe
Italy,3994894,+13385,120256 ,+344,3431867,442771,2711,66153,1991,57910906,958973,60388450 ,Europe
Spain,3504799,+8665,77943 ,+88,3192970,233886,2316,74937,1667,46199597,987810,46769716 ,Europe
Germany,3351474,+24696,83018 ,+320,2954000,314456,5049,39896,988,54061332,643551,84004726 ,Europe
Argentina,2928890,+23718,62947 ,+348,2582164,283779,5178,64319,1382,10980050,241124,45536872 ,South America
Colombia,2824626,+19745,72725 ,+490,2632699,119202,6006,55030,1417,14626169,284951,51328712 ,South America
Poland,2776926,+8894,66532 ,+635,2473974,236420,2945,73440,1760,14194145,375383,37812404 ,Europe
Iran,2459906,+21713,70966 ,+434,1923081,465859,5338,28982,836,15562560,183356,84875998 ,Asia
Mexico,2333126,+3592,215547 ,+434,1856543,261036,4798,17941,1657,6567070,50498,130046351 ,North America
Ukraine,2047838,+9590,43391 ,+441,1616891,387556,177,47059,997,9335892,214536,43516623 ,Europe
Peru,1783339,+8277,60742 ,+326,1688091,34506,2633,53475,1821,11037602,330973,33348960 ,South America
Indonesia,1657035,+5241,45116 ,+177,1511417,100502,,6006,164,14487396,52509,275901271 ,Asia
Czechia,1626053,+3239,29180 ,+46,1547835,49038,676,151608,2721,17646552,1645311,10725361 ,Europe
South Africa,1578450,+1250,54285 ,+48,1503611,20554,546,26341,906,10590107,176729,59922940 ,Africa
Netherlands,1481323,+8649,17104 ,+11,1242062,222157,824,86293,996,12274847,715062,17166127 ,Europe
Canada,1202737,+7748,24117 ,+52,1095266,83354,1355,31639,634,31173221,820038,38014360 ,North America
Chile,1184271,+4499,26073 ,+53,1120141,38057,3376,61517,1354,12916581,670950,19251189 ,South America
Iraq,1051868,+6858,15392 ,+44,927575,108901,560,25680,376,9244746,225696,40961122 ,Asia
Romania,1051779,+2240,27833 ,+150,983040,40906,1325,54976,1455,8190054,428090,19131613 ,Europe
Philippines,1020462,+6862,17031 ,+115,935603,67828,750,9212,154,11675796,105397,110778843 ,Asia
Belgium,979034,+2946,24104 ,+39,846692,108238,892,84173,2072,12363941,1063000,11631175 ,Europe
Sweden,967678,+7141,13969 ,,782438,171271,392,95327,1376,8482276,835601,10151111 ,Europe
Israel,838323,+106,6361 ,+2,830371,1591,120,91146,692,14163318,1539894,9197590 ,Asia
Portugal,835563,+572,16973 ,+3,794781,23809,88,82142,1669,10410898,1023470,10172161 ,Europe
Pakistan,810231,+5292,17530 ,+201,704494,88207,5214,3611,78,11682014,52057,224406500 ,Asia
Hungary,774399,+1692,27172 ,+188,497084,250143,702,80331,2819,5327413,552630,9640100 ,Europe
Bangladesh,754614,+2955,11305 ,+77,672319,70990,,4545,68,5423730,32666,166038470 ,Asia
Jordan,708265,+1910,8754 ,+47,678175,21336,729,68854,851,6668395,648272,10286420 ,Asia
Serbia,685937,+2138,6312 ,+26,630132,49493,161,78768,725,3814540,438035,8708302 ,Europe
Switzerland,656077,+2120,10617 ,+20,586247,59213,246,75353,1219,6848517,786579,8706711 ,Europe
Austria,614510,+2340,10152 ,+26,580330,24028,516,67911,1122,31317709,3461012,9048714 ,Europe
Japan,575193,+4153,10055 ,+51,512069,53069,953,4559,80,11632712,92208,126156759 ,Asia
Lebanon,524241,+1478,7224 ,+27,455115,61902,601,77092,1062,3967891,583497,6800196 ,Asia
UAE,516301,+1710,1580 ,+2,497140,17581,,51689,158,43657129,4370703,9988582 ,Asia
Morocco,510465,+493,9015 ,+10,496583,4867,201,13696,242,6234597,167282,37270037 ,Africa
Saudi Arabia,415281,+1062,6935 ,+13,398454,9892,1298,11778,197,16774888,475765,35258744 ,Asia
Bulgaria,402491,+1382,16278 ,+96,335431,50782,697,58288,2357,2493241,361067,6905199 ,Europe
Malaysia,401593,+3142,1477 ,+15,373397,26719,306,12279,45,9255511,282986,32706615 ,Asia
Slovakia,381180,+682,11611 ,+39,361535,8034,335,69790,2126,2605250,476993,5461823 ,Europe
Ecuador,377662,+2333,18470 ,+81,318598,40594,618,21142,1034,1273191,71276,17862913 ,South America
Panama,363895,+362,6222 ,+6,353774,3899,105,83262,1424,2376076,543663,4370496 ,North America
Belarus,355924,+1255,2522 ,+10,346148,7254,,37677,267,5815234,615580,9446759 ,Europe
Greece,340493,+2770,10242 ,+63,300854,29397,805,32800,987,8008592,771467,10380992 ,Europe
Croatia,327737,+2904,7001 ,+44,306132,14604,253,80242,1714,1784547,436924,4084344 ,Europe
Azerbaijan,316521,+1402,4461 ,+32,285024,27036,,30988,437,3218111,315058,10214345 ,Asia
Kazakhstan,314082,+2682,3621 ,+22,268439,42022,221,16564,191,10011864,528017,18961244 ,Asia
Nepal,312699,+4774,3211 ,+17,279279,30209,,10576,109,2445968,82728,29566414 ,Asia
Georgia,307401,+1551,4077 ,+17,288816,14508,,77181,1024,4127398,1036294,3982846 ,Asia
Tunisia,305313,+1729,10563 ,+119,255870,38880,523,25613,886,1298972,108972,11920283 ,Africa
Bolivia,300258,+1480,12885 ,+24,247961,39412,71,25437,1092,1132594,95952,11803769 ,South America
Palestine,294550,+1084,3206 ,+5,268054,23290,145,56661,617,1728362,332478,5198429 ,Asia
Paraguay,274170,+2356,6196 ,+102,225559,42415,537,38055,860,1084496,150530,7204516 ,South America
Kuwait,271145,+1464,1546 ,+11,254423,15176,216,62730,358,2307415,533826,4322409 ,Asia
Dominican Republic,265819,+338,3467 ,+5,223472,38880,191,24304,317,1399642,127969,10937353 ,North America
