Country,Total Cases,New Cases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
USA,32536470,+60317,582456 ,+883,25105535,6848479,10048,97837,1751,431941723,1298844,332558517 ,North America
India,15609004,+294290,182570 ,+2020,13269863,2156571,8944,11223,131,269414035,193703,1390864355 ,Asia
Brazil,14050885,+73172,378530 ,+3481,12561689,1110666,8318,65729,1771,28600000,133789,213770046 ,South America
France,5339920,+43098,101597 ,+375,4181381,1056942,5984,81663,1554,72873077,1114447,65389433 ,Europe
Russia,4718854,+8164,106307 ,+379,4343229,269318,2300,32324,728,126200000,864474,145984714 ,Europe
UK,4393307,+2524,127307 ,+33,4161433,104567,318,64445,1867,145197408,2129871,68171922 ,Europe
Turkey,4384624,+61028,36613 ,+346,3792129,555882,3375,51544,430,44409756,522067,85065229 ,Asia
Italy,3891063,+12074,117633 ,+390,3290715,482715,3151,64432,1948,55535217,919604,60390385 ,Europe
Spain,3435840,+7486,77216 ,+114,3147281,211343,2289,73464,1651,44374223,948789,46769321 ,Europe
Germany,3180810,+16363,81086 ,+312,2803600,296124,4932,37867,965,52737238,627833,83998886 ,Europe
Argentina,2743620,+29145,59792  ,+316,2407853,275975,4366,60263,1313,10320622,226688,45527815 ,South America
Poland,2704567,+9242,62733 ,+600,2354652,287182,3287,71524,1659,13687251,361969,37813307 ,Europe
Colombia,2684101,+16965,69177 ,+429,2505738,109186,5306,52304,1348,13978773,272401,51316864 ,South America
Mexico,2306910,+1308,212466 ,+127,1833132,261312,4798,17743,1634,6412677,49322,130016760 ,North America
Iran,2286927,+25492,67525 ,+395,1810531,408871,4911,26952,796,14613010,172217,84852500 ,Asia
Ukraine,1961956,+8940,40367 ,+367,1499752,421837,177,45079,928,8958482,205836,43522336 ,Europe
Peru,1719088,+11301,57954 ,+417,1645100,16034,2580,51564,1738,10524419,315680,33338918 ,South America
Indonesia,1614849,+5549,43777 ,+210,1468142,102930,,5854,159,13939364,50535,275838089 ,Asia
Czechia,1606074,+3330,28683 ,+67,1517568,59823,888,149751,2674,15989327,1490856,10724928 ,Europe
South Africa,1568366,+853,53887 ,+130,1494630,19849,546,26180,900,10379089,173255,59906596 ,Africa
Netherlands,1417772,+6822,16965 ,+27,1184607,216200,821,82595,988,11781337,686346,17165301 ,Europe
Canada,1139043,+7270,23713 ,+46,1027458,87872,1167,29969,624,30168562,793761,38007134 ,North America
Chile,1136435,+5095,25317 ,+40,1067662,43456,3372,59043,1315,12472168,647985,19247606 ,South America
Romania,1034003,+2931,26618 ,+237,950242,57143,1432,54039,1391,7950663,415517,19134403 ,Europe
Iraq,993158,+8208,15060 ,+34,870927,107171,486,24258,368,8891116,217167,40941346 ,Asia
Philippines,953080,+7353,16141 ,+93,809909,127030,750,8606,146,11242391,101514,110746960 ,Asia
Belgium,951626,+1630,23782 ,+35,804194,123650,931,81825,2045,12004992,1032237,11630075 ,Europe
Sweden,916830,,13825 ,+36,741752,161253,416,90330,1362,8151774,803151,10149737 ,Europe
Israel,837357,+139,6345 ,+4,828902,2110,175,91041,690,14014683,1523734,9197590 ,Asia
Portugal,831645,+424,16951 ,+5,790118,24576,113,81752,1666,9851332,968398,10172808 ,Europe
Pakistan,766882,+5445,16453 ,+137,667131,83298,4494,3419,73,11272531,50254,224312593 ,Asia
Hungary,754833,+1645,25580 ,+199,461181,268072,980,78297,2653,5157082,534932,9640633 ,Europe
Bangladesh,727780,+4559,10588 ,+91,628111,89081,,4384,64,5221275,31453,166002634 ,Asia
Jordan,692181,+2699,8372 ,+64,649718,34091,729,67305,814,6522141,634190,10284207 ,Asia
Serbia,667937,+2965,6058 ,+32,599380,62499,219,76694,696,3711555,426171,8709068 ,Europe
Switzerland,639445,+2141,10532 ,+11,570159,58754,218,73454,1210,6633770,762035,8705330 ,Europe
Austria,597566,+2026,9959 ,+37,560492,27115,565,66047,1101,29335166,3242318,9047592 ,Europe
Japan,537317,+2908,9671 ,+30,486076,41570,769,4259,77,11007803,87249,126165185 ,Asia
Lebanon,513006,+1608,6995 ,+36,432548,73463,769,75433,1029,3852611,566489,6800861 ,Asia
Morocco,506669,+720,8959 ,+7,492725,4985,261,13598,240,6176260,165759,37260477 ,Africa
UAE,500860,+1903,1559 ,+3,483180,16121,,50156,156,42101280,4216043,9985970 ,Asia
Saudi Arabia,407010,+1070,6846 ,+12,390538,9626,1105,11547,194,16293609,462271,35246885 ,Asia
Bulgaria,390911,+2096,15518 ,+106,314273,61120,765,56602,2247,2391777,346316,6906335 ,Europe
Malaysia,379473,+2341,1389 ,+3,356816,21268,249,11606,42,8718106,266629,32697551 ,Asia
Slovakia,376709,+642,11244 ,+72,255300,110165,430,68972,2059,2513141,460133,5461766 ,Europe
Panama,361319,+275,6192 ,+3,351228,3899,105,82700,1417,2312363,529265,4369010 ,North America
