Country,Total Cases,New Cases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
USA,33454581,+35755,595571  ,+637,26405871,6453139,9002,100567,1790,457294673,1374665,332659090 ,North America
India,22295911,+409300,242398 ,+4133,18311498,3742015,8944,16022,174,300410043,215879,1391568121 ,Asia
Brazil,15150628,+63268,421484 ,+2091,13677668,1051476,8318,70848,1971,46834128,219006,213848364 ,South America
France,5767959,+20745,106277 ,+176,4833157,828525,5005,88199,1625,78568784,1201414,65396910 ,Europe
Turkey,5016141,+18052,42746 ,+281,4691224,282171,3175,58936,502,49192673,577974,85112315 ,Asia
Russia,4871843,+8329,112992 ,+370,4488615,270236,2300,33372,774,131100000,898019,145987952 ,Europe
UK,4433090,+2047,127603 ,+5,4245744,59743,163,65010,1871,163171777,2392885,68190397 ,Europe
Italy,4102918,+10173,122694 ,+224,3590107,390117,2211,67945,2032,60871018,1008036,60385788 ,Europe
Spain,3567408,,78792 ,,3248010,240606,2183,76275,1685,47213067,1009468,46770258 ,Europe
Germany,3519250,+15238,85252 ,+196,3147100,286898,5049,41889,1015,56836969,676528,84012757 ,Europe
Argentina,3136158,+18024,67042 ,+170,2798328,270788,5285,68852,1472,11779602,258612,45549324 ,South America
Colombia,2985536,+16910,77359 ,+492,2806310,101867,6006,58147,1507,15365234,299255,51345002 ,South America
Poland,2829200,+4769,69865 ,+420,2563079,196256,2157,74824,1848,14678781,388213,37811163 ,Europe
Iran,2640670,+13576,74524 ,+283,2092381,473765,5545,31100,878,16929609,199387,84908308 ,Asia
Mexico,2361874,+3043,218657 ,+484,1881818,261399,4798,18156,1681,6734249,51767,130087038 ,North America
Ukraine,2114138,+8710,46200 ,+370,1750570,317368,177,48591,1062,9594857,220527,43508768 ,Europe
Peru,1845056,+5591,63826 ,+307,1720665,60565,2670,55303,1913,11624047,348414,33362768 ,South America
Indonesia,1709762,+6130,46842 ,+179,1563917,99003,,6195,170,15173829,54980,275988146 ,Asia
Czechia,1644344,+1636,29657 ,+23,1575417,39270,386,153305,2765,19804403,1846400,10725956 ,Europe
South Africa,1594817,+2491,54724 ,+37,1514088,26005,546,26604,913,10861611,181192,59945412 ,Africa
Netherlands,1553469,+7399,17319 ,+29,1309846,226304,771,90490,1009,12762141,743400,17167263 ,Europe
Canada,1279971,+6802,24568 ,+39,1174351,81052,1331,33662,646,32549753,856025,38024294 ,North America
Chile,1241976,+6198,27101 ,+97,1177342,37533,3138,64498,1407,13495109,700822,19256115 ,South America
Iraq,1108558,+4608,15741 ,+39,998626,94191,517,27046,384,9639337,235173,40988315 ,Asia
Philippines,1094816,+6946,18268 ,+169,1013027,63521,750,9879,165,12239858,110445,110822682 ,Asia
Romania,1065254,+1305,28903 ,+104,1011694,24657,1026,55691,1511,8456983,442131,19127777 ,Europe
Belgium,1010987,+3723,24483 ,+39,880267,106237,744,86909,2105,12885085,1107662,11632688 ,Europe
Sweden,1007792,,14173 ,,843211,150408,403,99261,1396,8798383,866580,10153000 ,Europe
Pakistan,854240,+4109,18797 ,+120,752712,82731,4986,3804,84,12149935,54111,224535621 ,Asia
Portugal,839258,+406,16991 ,+2,800007,22260,74,82513,1670,10832463,1065006,10171271 ,Europe
Israel,838885,+27,6376 ,+1,831480,1029,85,91207,693,14346755,1559839,9197590 ,Asia
Hungary,790564,+1376,28504 ,+101,561119,200941,420,82014,2957,5494198,569975,9639365 ,Europe
Bangladesh,772127,+1285,11878 ,+45,706833,53416,1114,4649,72,5613979,33801,166087745 ,Asia
Jordan,719233,+601,9076 ,+29,701191,8966,729,69900,882,6824502,663252,10289462 ,Asia
Serbia,699574,+1056,6539 ,+20,658453,34582,135,80344,751,3919856,450183,8707250 ,Europe
Switzerland,670613,,10704 ,+2,601958,57951,205,77006,1229,7088449,813959,8708610 ,Europe
Austria,630050,+1233,10374 ,+23,601958,17718,405,69617,1146,34299962,3789944,9050255 ,Europe
Japan,626031,+5563,10702 ,+113,551293,64036,1131,4963,85,12353334,97930,126145174 ,Asia
UAE,534445,+1735,1610 ,+3,514769,18066,,53486,161,45667425,4570320,9992172 ,Asia
Lebanon,532269,+435,7460 ,+24,481968,42841,453,78283,1097,4097623,602655,6799282 ,Asia
Morocco,513628,+314,9064 ,+7,500540,4024,128,13776,243,6330343,169791,37283183 ,Africa
Malaysia,436944,+4519,1657 ,+25,398723,36564,393,13354,51,9980413,305033,32719078 ,Asia
Saudi Arabia,425442,+997,7059 ,+14,408676,9707,1319,12061,200,17459285,494947,35275050 ,Asia
Bulgaria,409961,+466,16902 ,+16,348185,44874,566,59383,2448,2584732,374402,6903636 ,Europe
Ecuador,398921,+2033,19137 ,+76,329582,50202,620,22322,1071,1334841,74693,17870970 ,South America
Nepal,385890,+8287,3632 ,+53,298765,83493,,13045,123,2615720,88422,29582184 ,Asia
Slovakia,385395,+373,11990 ,+44,367530,5875,260,70561,2195,2717033,497452,5461902 ,Europe
Belarus,367674,+1369,2622 ,+10,358261,6791,,38921,278,5976984,632708,9446666 ,Europe
Panama,367270,+508,6265 ,+7,356852,4153,105,83995,1433,2458134,562175,4372539 ,North America
Greece,360577,+2461,10978 ,+68,323458,26141,737,34739,1058,8445689,813692,10379470 ,Europe
Croatia,343829,+1342,7424 ,+36,325700,10705,235,84198,1818,1871290,458247,4083587 ,Europe
