Country,Total Cases,New Cases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
USA,32875045,+47456,586499 ,+472,25464651,6823895,9884,98844,1763,441188845,1326502,332595570 ,North America
India,17625735,+319435,197880 ,+2764,14545342,2882513,8944,12670,142,279321177,200788,1391123637 ,Asia
Brazil,14370456,+29669,392204 ,+1279,12879051,1099201,8318,67215,1834,43538104,203640,213798900 ,South America
France,5503996,+5952,103270 ,+405,4405717,995009,6001,84169,1579,74886627,1145192,65392188 ,Europe
Russia,4771372,+8803,108588 ,+356,4394639,268145,2300,32684,744,128000000,876797,145985907 ,Europe
Turkey,4667281,+37312,38711 ,+353,4121671,506899,3563,54856,455,46153151,542451,85082577 ,Asia
UK,4406946,+2064,127434 ,+6,4197672,81840,243,64638,1869,151605651,2223650,68178729 ,Europe
Italy,3971108,+8438,119539 ,+301,3398763,452806,2849,65759,1979,57271836,948387,60388692 ,Europe
Spain,3488469,+6500,77738 ,+49,3182894,227837,2356,74588,1662,46199597,987811,46769666 ,Europe
Germany,3307769,+9568,82344 ,+107,2910100,315325,5049,39376,980,54061332,643557,84003996 ,Europe
Argentina,2879677,+18793,62087 ,+443,2542004,275586,5036,63240,1363,10800832,237195,45535740 ,South America
Colombia,2787303,+12839,71799 ,+448,2602489,113015,6006,54305,1399,14467329,281865,51327231 ,South America
Poland,2762325,+3453,65437 ,+22,2455005,241883,3101,73053,1731,14057613,371771,37812517 ,Europe
Iran,2417230,+21026,70070 ,+496,1892229,454931,5244,28481,826,15313657,180430,84873060 ,Asia
Mexico,2328391,+1653,214947 ,+94,1850680,262764,4798,17905,1653,6538675,50281,130042652 ,North America
Ukraine,2030333,+5062,42518 ,+195,1579438,408377,177,46656,977,9256290,212704,43517337 ,Europe
Peru,1768186,+6611,60013 ,+289,1688091,20082,2628,53023,1800,10899191,326835,33347705 ,South America
Indonesia,1647138,+5944,44771 ,+177,1501715,100652,,5970,162,14337492,51968,275893373 ,Asia
Czechia,1620229,+824,29072 ,+51,1541851,49306,694,151066,2711,17124014,1596599,10725307 ,Europe
South Africa,1576320,+849,54186 ,+38,1501880,20254,546,26307,904,10545817,175996,59920897 ,Africa
Netherlands,1467337,+6200,17062 ,+13,1227958,222317,820,85479,994,12274847,715066,17166024 ,Europe
Canada,1187918,+8931,24024 ,+59,1078715,85179,1355,31250,632,30960379,814458,38013456 ,North America
Chile,1175614,+6078,25975 ,+119,1106862,42777,3363,61069,1349,12846288,667314,19250741 ,South America
Romania,1047520,+1256,27511 ,+117,975703,44306,1354,54752,1438,8122474,424550,19131962 ,Europe
Iraq,1037858,+6536,15303 ,+46,913211,109344,528,25339,374,9155729,223536,40958650 ,Asia
Philippines,1006414,+8915,16853 ,+70,914918,74643,750,9085,152,11584435,104576,110774857 ,Asia
Belgium,974418,+2377,24024 ,+34,836741,113653,886,83777,2066,12289480,1056611,11631038 ,Europe
Sweden,953254,+3072,13936 ,+1,772336,166982,403,93908,1373,8482276,835615,10150939 ,Europe
Israel,838107,+83,6353 ,+1,830088,1666,145,91122,691,14089536,1531873,9197590 ,Asia
Portugal,834638,+196,16965 ,,793011,24662,91,82051,1668,10302431,1012799,10172241 ,Europe
Pakistan,800452,+4825,17187 ,+70,694046,89219,4862,3567,77,11588932,51645,224394761 ,Asia
Hungary,771454,+1936,26801 ,+176,486435,258218,782,80025,2780,5297235,549496,9640166 ,Europe
Bangladesh,748628,+3306,11150 ,+97,661693,75785,,4509,67,5371287,32351,166033991 ,Asia
Jordan,704540,+2386,8660 ,+45,671127,24753,729,68494,842,6630787,644633,10286143 ,Asia
Serbia,681654,+1987,6257 ,+30,623161,52236,183,78275,719,3787020,434870,8708398 ,Europe
Switzerland,651822,+5313,10584 ,+2,581714,59524,240,74866,1216,6794311,780369,8706538 ,Europe
Austria,610545,+1566,10098 ,+11,575217,25230,517,67474,1116,30836351,3407869,9048573 ,Europe
Japan,567721,+5580,9972  ,+59,504735,53014,898,4500,79,11464138,90871,126157812 ,Asia
Lebanon,521581,+642,7171 ,+29,451167,63243,665,76700,1055,3937462,579015,6800279 ,Asia
UAE,512497,+1759,1573 ,+2,493689,17235,,51310,157,43276956,4332784,9988255 ,Asia
Morocco,509465,+102,8999 ,+7,495408,5058,233,13670,241,6221767,166943,37268842 ,Africa
Saudi Arabia,413174,+958,6913 ,+13,396604,9657,1290,11719,196,16643921,472071,35257261 ,Asia
Bulgaria,399259,+1759,16101 ,+194,329043,54115,724,57819,2332,2461198,356419,6905341 ,Europe
Malaysia,395718,+2776,1449 ,+13,369556,24713,300,12099,44,9121319,278893,32705482 ,Asia
Slovakia,380010,+99,11531 ,+36,359637,8842,341,69576,2111,2589457,474102,5461816 ,Europe
Ecuador,374775,+1413,18300 ,+123,318598,37877,635,20981,1025,1263275,70723,17862181 ,South America
Panama,363165,+198,6212 ,+3,353047,3906,105,83098,1421,2357883,539523,4370310 ,North America
Belarus,353846,+896,2502 ,+9,344206,7138,,37457,265,5788360,612734,9446767 ,Europe
Greece,334436,+1307,10087 ,+80,291153,33196,811,32216,972,7870447,758149,10381131 ,Europe
Croatia,323036,+410,6905 ,+51,302699,13432,259,79090,1691,1762625,431549,4084413 ,Europe
Azerbaijan,313812,+806,4402 ,+31,280403,29007,,30723,431,3195268,312829,10214096 ,Asia
Kazakhstan,309116,+2716,3570 ,+20,263446,42100,221,16303,188,9943652,524437,18960630 ,Asia
Georgia,304272,+521,4043 ,+18,287029,13200,,76395,1015,4070538,1022012,3982867 ,Asia
Nepal,303561,+3442,3176 ,+12,277951,22434,,10268,107,2417417,81766,29564980 ,Asia
Tunisia,301627,+1285,10352 ,+48,251191,40084,516,25304,868,1285499,107844,11919946 ,Africa
Bolivia,297659,+474,12824 ,+12,245633,39202,71,25218,1086,1111484,94167,11803334 ,South America
Palestine,292052,+1080,3184 ,+17,264660,24208,137,56184,613,1722666,331403,5198104 ,Asia
Paraguay,269353,+2271,6002 ,+102,221631,41720,549,37388,833,1071642,148751,7204277 ,South America
Kuwait,268235,+1286,1527 ,+11,251511,15197,220,62059,353,2288646,529505,4322236 ,Asia
Dominican Republic,265403,+540,3459 ,+5,222174,39770,177,24266,316,1396399,127676,10937056 ,North America
Ethiopia,253120,+841,3570 ,+19,193497,56053,990,2158,30,2555989,21793,117283988 ,Africa
Moldova,249385,+246,5745 ,+15,237934,5706,226,61940,1427,971284,241238,4026249 ,Europe
Denmark,248326,+704,2477 ,+2,236159,9690,39,42749,426,35631425,6133879,5808955 ,Europe
Ireland,247069,+436,4874 ,+1,229064,13131,46,49583,978,4416913,886402,4982967 ,Europe
Lithuania,241895,+537,3864 ,+14,218011,20020,214,89893,1436,2721117,1011218,2690931 ,Europe
Costa Rica,241240,+1203,3168 ,+10,201264,36808,415,47005,617,953061,185700,5132250 ,North America
Slovenia,237216,+188,4214 ,+6,222643,10359,158,114092,2027,1160553,558180,2079173 ,Europe
Egypt,223514,+991,13107 ,+58,167900,42507,90,2151,126,2677262,25765,103910846 ,Africa
Guatemala,221939,+241,7428 ,+18,197600,16911,5,12204,408,1223926,67299,18186285 ,North America
Armenia,213469,+181,4040 ,+22,194900,14529,,71929,1361,965692,325391,2967794 ,Asia
