Country,Total Cases,New Cases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
USA,33515308,+30152,596179 ,+370,26507427,6411702,8777,100748,1792,459420934,1381034,332664383 ,North America
India,22991927,+329517,250025 ,+3879,19021207,3720695,8944,16522,180,303750077,218273,1391605161 ,Asia
Brazil,15214030,+29240,423436 ,+1018,13759125,1031469,8318,71143,1980,46834128,219002,213852486 ,South America
France,5780379,+3292,106684 ,+292,4917393,756302,4870,88389,1631,79517576,1215915,65397303 ,Europe
Turkey,5044936,+13604,43311 ,+282,4743871,257754,2983,59272,509,49604004,582789,85114793 ,Asia
Russia,4888727,+8465,113647 ,+321,4502906,272174,2300,33487,778,131400000,900073,145988122 ,Europe
UK,4437217,+2357,127609 ,+4,4250699,58909,159,65070,1871,165821683,2431711,68191369 ,Europe
Italy,4116287,+5080,123031 ,+198,3619586,373670,2158,68167,2037,61227024,1013935,60385546 ,Europe
Spain,3581392,+4579,78895 ,+35,3274808,227689,2134,76574,1687,47213067,1009467,46770308 ,Europe
Germany,3535354,+7814,85481 ,+110,3175600,274273,5049,42081,1017,56836969,676522,84013487 ,Europe
Argentina,3165121,+17381,67821 ,+496,2837058,260242,5357,69486,1489,11891364,261059,45550456 ,South America
Colombia,3015301,+12543,78342 ,+488,2835554,101405,6006,58725,1526,15477840,301439,51346483 ,South America
Poland,2835082,+2031,70017 ,+5,2576034,189031,2083,74980,1852,14794397,391272,37811050 ,Europe
Iran,2673219,+18408,75261 ,+351,2127192,470766,5533,31483,886,17206735,202644,84911245 ,Asia
Mexico,2365792,+1175,218985 ,+57,1886233,260574,4798,18186,1683,6757360,51943,130090737 ,North America
Ukraine,2122327,+2817,46512 ,+119,1768753,307062,177,48780,1069,9655779,221931,43508054 ,Europe
Peru,1853370,+3080,64373 ,+270,1720665,68332,2680,55550,1929,11705258,350835,33364023 ,South America
Indonesia,1718575,+4891,47218 ,+206,1574615,96742,,6227,171,15272213,55335,275996044 ,Asia
Czechia,1645449,+383,29733 ,+27,1583504,32212,363,153407,2772,19988974,1863598,10726011 ,Europe
South Africa,1597724,+1129,54825 ,+90,1517350,25549,546,26652,915,10906020,181926,59947455 ,Africa
Netherlands,1565880,+5858,17339 ,+16,1325124,223417,758,91213,1010,13171698,767252,17167367 ,Europe
Canada,1294186,+7520,24682 ,+56,1189678,79826,1331,34035,649,32746783,861186,38025198 ,North America
Chile,1252808,+5339,27318 ,+100,1188831,36659,3137,65059,1419,13623503,707473,19256563 ,South America
Iraq,1117627,+4902,15800 ,+29,1011606,90221,543,27265,385,9707527,236822,40990787 ,Asia
Philippines,1108813,+6833,18561 ,+89,1030338,59914,750,10005,167,12330600,111260,110826667 ,Asia
Romania,1066731,+620,29034 ,+68,1015092,22605,962,55770,1518,8488189,443771,19127428 ,Europe
Sweden,1021604,+2463,14181 ,+1,854829,152594,381,100619,1397,8798383,866565,10153172 ,Europe
