Country,Total Cases,New Cases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
Ethiopia,257442,+1024,3688 ,+30,198862,54892,962,2194,31,2580700,21998,117315204 ,Africa
Denmark,251428,+874,2485 ,+2,239208,9735,35,43281,428,37908060,6525547,5809177 ,Europe
Costa Rica,250991,+2609,3231 ,+14,203009,44751,380,48900,629,974477,189854,5132758 ,North America
Moldova,250837,+329,5812 ,+17,239914,5111,206,62302,1444,989787,245840,4026147 ,Europe
Ireland,248870,+544,4903 ,+4,230955,13012,44,49938,984,4494860,901936,4983570 ,Europe
Lithuania,247320,+1357,3927 ,+10,222436,20957,225,91923,1460,2797345,1039705,2690519 ,Europe
Slovenia,240292,+949,4250 ,+7,226647,9395,156,115571,2044,1174592,564931,2079176 ,Europe
Guatemala,227671,+1424,7524 ,+24,202843,17304,5,12516,414,1260190,69280,18189912 ,North America
Egypt,227552,+1021,13339 ,+61,170773,43440,90,2189,128,2715258,26125,103931972 ,Africa
Armenia,216064,+536,4108 ,+21,198135,13821,,72801,1384,983656,331437,2967855 ,Asia
Honduras,211076,+1586,5261 ,+38,78517,127298,566,21034,524,621659,61948,10035141 ,North America
Qatar,205652,+676,458 ,+8,189544,15650,374,73243,163,1903912,678078,2807805 ,Asia
Bosnia and Herzegovina,198461,+595,8551 ,+39,159223,30687,,60807,2620,907054,277915,3263787 ,Europe
Uruguay,198428,+2694,2616 ,+53,167823,27989,548,56958,751,1802140,517299,3483749 ,South America
Venezuela,197683,+1297,2136 ,+19,179200,16347,317,6968,75,3359014,118405,28368759 ,South America
Oman,193253,,2010 ,,173123,18120,275,37065,386,1550000,297285,5213849 ,Asia
Libya,177508,+436,3029 ,+6,163191,11288,,25545,436,958768,137976,6948783 ,Africa
Bahrain,176934,+1182,646 ,+7,165928,10360,87,101092,369,4079066,2330595,1750225 ,Asia
Nigeria,165110,+55,2063 ,,155101,7946,11,785,10,1912628,9092,210358766 ,Africa
Kenya,159318,+497,2724 ,+17,108565,48029,191,2910,50,1669552,30494,54750456 ,Africa
North Macedonia,152367,+365,4855 ,+37,132765,14747,124,73137,2330,721446,346299,2083303 ,Europe
Myanmar,142817,+17,3209 ,,131966,7642,,2610,59,2576307,47088,54713038 ,Asia
Albania,131085,+108,2394 ,+5,109338,19353,18,45592,833,633689,220400,2875178 ,Europe
Algeria,122108,+242,3253 ,+9,85108,33747,28,2744,73,230861,5187,44506651 ,Africa
Estonia,122042,+385,1161 ,+3,111274,9607,57,91949,875,1283679,967152,1327278 ,Europe
S. Korea,122007,+656,1828 ,+3,111422,8757,164,2378,36,8848292,172461,51305935 ,Asia
Latvia,118558,+763,2131 ,+6,107701,8726,84,63442,1140,2292447,1226714,1868770 ,Europe
Norway,112970,+429,756 ,+2,88952,23262,40,20704,139,5212177,955229,5456469 ,Europe
Sri Lanka,108146,+1662,678 ,+17,95975,11493,,5033,32,2538334,118128,21487952 ,Asia
Cuba,106707,+1046,644 ,+12,100603,5460,73,9426,57,3631470,320777,11320855 ,North America
Montenegro,97389,+132,1495 ,+3,93531,2363,69,155045,2380,375779,598248,628132 ,Europe
Kyrgyzstan,95275,+331,1604 ,+6,89191,4480,25,14406,243,988713,149502,6613368 ,Asia
Ghana,92562,,779 ,,90196,1587,8,2928,25,1075602,34028,31609384 ,Africa
Zambia,91586,+53,1251 ,+1,89933,402,45,4869,67,1400235,74447,18808586 ,Africa
Uzbekistan,90808,+402,649 ,+2,87067,3092,23,2681,19,1377915,40681,33871350 ,Asia
China,90655,+13,4636 ,,85691,328,3,63,3,160000000,111163,1439323776 ,Asia
Finland,86808,+195,914 ,+1,46000,39894,31,15647,165,4471351,805956,5547888 ,Europe
Cameroon,72250,,1107 ,,64572,6571,385,2667,41,1257949,46433,27091519 ,Africa
Mozambique,69917,+53,814 ,,65913,3190,43,2186,25,518615,16218,31977645 ,Africa
El Salvador,69198,,2124 ,+4,64876,2198,31,10624,326,914674,140429,6513428 ,North America
Luxembourg,67205,+160,796 ,+2,63661,2748,30,105932,1255,2661422,4195074,634416 ,Europe
Cyprus,65233,,308 ,,39061,25864,75,53705,254,4851170,3993837,1214664 ,Asia
Thailand,65153,+1583,203 ,+15,36254,28696,871,931,3,8124896,116160,69945784 ,Asia
Singapore,61145,+24,30 ,,60751,364,,10384,5,9536636,1619514,5888578 ,Asia
Afghanistan,59942,+197,2631 ,+6,53206,4105,1124,1512,66,403764,10182,39652974 ,Asia
Namibia,48351,+174,642 ,+4,46021,1688,42,18748,249,386573,149892,2579003 ,Africa
Botswana,46934,,712 ,,44960,1262,1,19630,298,999041,417850,2390908 ,Africa
Ivory Coast,46036,+38,286 ,,45526,224,,1710,11,594288,22078,26917693 ,Africa
Jamaica,45578,+164,778 ,+8,21059,23741,26,15336,262,331131,111420,2971920 ,North America
Uganda,41866,+69,342 ,,41422,102,24,892,7,1015177,21631,46930713 ,Africa
Senegal,40344,+49,1107 ,,39083,154,12,2358,65,479478,28026,17108079 ,Africa
Zimbabwe,38257,+22,1567 ,,35612,1078,12,2543,104,415737,27638,15042299 ,Africa
Madagascar,37014,+318,643 ,+6,31570,4801,391,1309,23,182972,6470,28278674 ,Africa
Mongolia,35979,+1356,110 ,+8,19642,16227,109,10830,33,2697262,811931,3322033 ,Asia
Malawi,34078,+16,1148 ,,32051,879,12,1744,59,232358,11893,19537996 ,Africa
Sudan,33104,,2349 ,,26795,3960,,741,53,232965,5212,44695198 ,Africa
Malta,30292,+16,413 ,,29548,331,,68453,933,867282,1959862,442522 ,Europe
DRC,29853,+41,766 ,+3,26219,2868,,325,8,148822,1621,91804946 ,Africa
Maldives,29835,+465,73 ,,24775,4987,90,54401,133,725273,1322458,548428 ,Asia
Australia,29801,+22,910 ,,28599,292,1,1158,35,16839329,654070,25745436 ,Australia/Oceania
Angola,26652,+221,596 ,+2,23876,2180,24,791,18,465555,13811,33708433 ,Africa
