Country,Total Cases,New Cases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
Country,Total Cases,New Cases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
USA,32602051,+65057,583330 ,+876,25177434,6841287,10009,98032,1754,433439646,1303328,332563810 ,North America
India,15924806,+315802,184672 ,+2102,13449406,2290728,8944,11449,133,271053392,194876,1390901395 ,Asia
Brazil,14122795,+71910,381687 ,+3157,12646132,1094976,8318,66064,1785,28600000,133786,213774168 ,South America
France,5374288,+34968,101881 ,+313,4218607,1053800,5959,82188,1558,72936321,1115408,65389827 ,Europe
Russia,4727125,+8271,106706 ,+399,4352873,267546,2300,32381,731,126500000,866528,145984885 ,Europe
Turkey,4446591,+61967,36975 ,+362,3844342,565274,3398,52271,435,44728595,525800,85067708 ,Asia
UK,4395703,+2396,127327 ,+22,4166734,101642,300,64479,1868,146043397,2142250,68172895 ,Europe
Italy,3904899,+13844,117997 ,+364,3311267,475635,3076,64661,1954,55885251,925404,60390143 ,Europe
Spain,3446072,+10232,77364 ,+148,3151587,217121,2288,73682,1654,44374223,948788,46769371 ,Europe
Germany,3208672,+27862,81382 ,+296,2824100,303190,4932,38199,969,52737238,627827,83999616 ,Europe
Argentina,2769552,+25932,60083 ,+291,2424675,284794,4492,60831,1320,10421935,228908,45528947 ,South America
Poland,2718494,+13927,63474 ,+741,2366230,288790,3265,71893,1679,13767550,364094,37813194 ,Europe
Colombia,2701313,+17212,69596 ,+419,2521944,109773,5306,52638,1356,14052886,273837,51318345 ,South America
Iran,2311813,+24886,67913 ,+388,1823958,419942,4991,27244,800,14739719,173704,84855437 ,Asia
Mexico,2311172,+4262,213048 ,+582,1836377,261747,4798,17775,1639,6438267,49517,130020459 ,North America
Ukraine,1974118,+12162,40796 ,+429,1514472,418850,177,45359,937,8996039,206703,43521622 ,Europe
Peru,1726806,+7718,58261 ,+307,1653411,15134,2628,51794,1747,10582462,317409,33340173 ,South America
Indonesia,1620569,+5720,44007 ,+230,1475456,101106,,5875,160,14032928,50872,275845986 ,Asia
Czechia,1609890,+3812,28762 ,+59,1520050,61078,861,150107,2682,16239529,1514178,10724982 ,Europe
South Africa,1569935,+1569,53940 ,+53,1495864,20131,546,26205,900,10413180,173818,59908639 ,Africa
Netherlands,1426243,+8471,16982 ,+17,1190841,218420,817,83088,989,11781337,686342,17165404 ,Europe
Canada,1147464,+8421,23763 ,+50,1037898,85803,1312,30190,625,30274366,796525,38008037 ,North America
Chile,1141403,+4968,25353 ,+36,1074827,41223,3401,59300,1317,12508296,649847,19248054 ,South America
Romania,1037009,+3006,26793 ,+175,954868,55348,1436,54197,1400,7985507,417345,19134054 ,Europe
Iraq,1001854,+8696,15098 ,+38,877309,109447,517,24469,369,8938639,218315,40943818 ,Asia
Philippines,962282,+9202,16265 ,+124,829553,116464,750,8689,147,11294085,101977,110750945 ,Asia
Belgium,955056,+3430,23834 ,+52,813224,117998,946,82119,2049,12051821,1036251,11630213 ,Europe
Sweden,932076,+7713,13850  ,+1,744405,173821,416,91831,1365,8151774,803138,10149909 ,Europe
Israel,837492,+135,6346 ,+1,829127,2019,173,91056,690,14014683,1523734,9197590 ,Asia
Portugal,832255,+610,16952 ,+1,790650,24653,110,81812,1666,9958289,978920,10172727 ,Europe
Pakistan,772381,+5499,16600 ,+147,672619,83162,4528,3443,74,11319832,50462,224324332 ,Asia
Hungary,757360,+2527,25787 ,+207,464750,266823,925,78560,2675,5179517,537263,9640567 ,Europe
Bangladesh,732060,+4280,10683 ,+95,635183,86194,,4410,64,5249683,31623,166007114 ,Asia
Jordan,695390,+3209,8429 ,+57,654493,32468,729,67615,820,6546769,636568,10284484 ,Asia
Serbia,670801,+2864,6095 ,+37,604174,60532,228,77024,700,3726602,427904,8708972 ,Europe
Switzerland,642131,+2686,10546 ,+14,573786,57799,226,73762,1211,6663629,765450,8705502 ,Europe
Austria,600089,+2523,9997 ,+38,563256,26836,557,66325,1105,29335166,3242267,9047733 ,Europe
Japan,541134,+3980,9710 ,+39,488944,42480,791,4289,77,11079602,87819,126164132 ,Asia
Lebanon,515088,+2082,7027 ,+32,433987,74074,721,75740,1033,3870650,569148,6800778 ,Asia
Morocco,507338,+669,8969 ,+10,493353,5016,218,13616,241,6186340,166024,37261672 ,Africa
UAE,502791,+1931,1561 ,+2,485078,16152,,50348,156,42293166,4235120,9986297 ,Asia
Saudi Arabia,408038,+1028,6858 ,+12,391362,9818,1145,11576,195,16352116,463911,35248367 ,Asia
Bulgaria,392913,+2002,15618 ,+100,318208,59087,786,56893,2261,2405956,348377,6906193 ,Europe
Malaysia,381813,+2340,1400 ,+11,358726,21687,248,11677,43,8783027,268605,32698684 ,Asia
Slovakia,377473,+764,11304 ,+60,255300,110869,411,69112,2070,2520570,461493,5461773 ,Europe
Ecuador,362843,+1689,17804 ,+60,309541,35498,650,20318,997,1236484,69241,17857786 ,South America
Panama,361678,+359,6196 ,+4,351582,3900,105,82779,1418,2321435,531319,4369196 ,North America
Belarus,347316,+1318,2453 ,+10,337620,7243,,36765,260,5705532,603963,9446818 ,Europe
Greece,323639,+3010,9713 ,+86,278690,35236,831,31173,936,7629407,734871,10381961 ,Europe
Croatia,313423,+3117,6692 ,+49,291351,15380,230,76729,1638,1723697,421976,4084825 ,Europe
Azerbaijan,305933,+2075,4235 ,+32,269965,31733,,29956,415,3141335,307594,10212599 ,Asia
Georgia,299038,+1310,3971 ,+12,282869,12198,,75079,997,3946720,990893,3982992 ,Asia
Kazakhstan,294946,+2696,3459 ,+23,252598,38889,221,15559,182,9653519,509234,18956949 ,Asia
Tunisia,291833,+2603,9993 ,+75,242238,39602,493,24487,838,1249409,104834,11917920 ,Africa
Bolivia,291675,+1313,12695 ,+29,240336,38644,71,24717,1076,1070832,90743,11800723 ,South America
Nepal,289787,+2220,3112 ,+10,276093,10582,,9805,105,2369401,80165,29556378 ,Asia
Palestine,286028,+1748,3096 ,+18,254199,28733,165,55046,596,1698129,326805,5196155 ,Asia
Dominican Republic,262404,+556,3435 ,+9,219645,39324,188,23996,314,1378669,126075,10935274 ,North America
