Country,Total Cases,New Cases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
USA,33485156,+26627,595809 ,+241,26442187,6447160,8980,100657,1791,458207274,1377386,332664383 ,North America
India,22662410,+366499,246146 ,+3748,18665266,3750998,8944,16285,177,302275471,217214,1391605161 ,Asia
Brazil,15184790,+34162,422418 ,+934,13714135,1048237,8318,71006,1975,46834128,219002,213852486 ,South America
France,5777087,+9128,106392 ,+115,4874224,796471,4971,88338,1627,79015258,1208234,65397303 ,Europe
Turkey,5031332,+15191,43029 ,+283,4716918,271385,3081,59112,506,49390141,580277,85114793 ,Asia
Russia,4880262,+8419,113326 ,+334,4496132,270804,2300,33429,776,131400000,900073,145988122 ,Europe
UK,4434860,+1770,127605 ,+2,4248211,59044,163,65036,1871,164463915,2411800,68191369 ,Europe
Italy,4111207,+8289,122833 ,+139,3604523,383851,2192,68083,2034,61097024,1011782,60385546 ,Europe
Spain,3576813,+5599,78860 ,+34,3268652,229301,2183,76476,1686,47213067,1009467,46770308 ,Europe
Germany,3527540,+8290,85371 ,+119,3159200,282969,5049,41988,1016,56836969,676522,84013487 ,Europe
Argentina,3147740,+11582,67325 ,+283,2817165,263250,5294,69104,1478,11821485,259525,45550456 ,South America
Colombia,3002758,+17222,77854 ,+495,2819874,105030,6006,58480,1516,15436162,300627,51346483 ,South America
Poland,2833051,+3851,70012 ,+147,2569501,193538,2138,74927,1852,14794397,391272,37811050 ,Europe
Iran,2654811,+14141,74910 ,+386,2109702,470199,5538,31266,882,17069126,201023,84911245 ,Asia
Mexico,2364617,+2743,218928 ,+271,1884008,261681,4798,18177,1683,6751476,51898,130090737 ,North America
Ukraine,2119510,+5372,46393 ,+193,1759751,313366,177,48715,1066,9655779,221931,43508054 ,Europe
Peru,1850290,+5234,64103 ,+277,1720665,65522,2669,55458,1921,11682182,350143,33364023 ,South America
Indonesia,1713684,+3922,47012 ,+170,1568277,98395,,6209,170,15222730,55156,275996044 ,Asia
Czechia,1645066,+724,29706 ,+29,1583479,31881,366,153372,2770,19893984,1854742,10726011 ,Europe
South Africa,1596595,+1778,54735 ,+11,1516256,25604,546,26633,913,10887709,181621,59947455 ,Africa
Netherlands,1560022,+6553,17323 ,+4,1317452,225247,758,90871,1009,13171698,767252,17167367 ,Europe
Canada,1286666,+6695,24626 ,+58,1181251,80789,1331,33837,648,32642733,858450,38025198 ,North America
Chile,1247469,+5493,27218 ,+117,1183155,37096,3147,64781,1413,13557153,704028,19256563 ,South America
Iraq,1112725,+4167,15771 ,+30,1005369,91585,543,27146,385,9673212,235985,40990787 ,Asia
Philippines,1101980,+7164,18472 ,+204,1022174,61334,750,9943,167,12287489,110871,110826667 ,Asia
Romania,1066111,+857,28966 ,+63,1013666,23479,984,55737,1514,8477446,443209,19127428 ,Europe
Sweden,1019141,+1999,14180 ,+2,850811,154150,381,100377,1397,8798383,866565,10153172 ,Europe
Belgium,1014351,+3364,24511 ,+28,883729,106111,727,87197,2107,12949152,1113156,11632825 ,Europe
Pakistan,858026,+3786,18915 ,+118,757281,81830,4903,3821,84,12190671,54290,224547359 ,Asia
Portugal,839582,+324,16992 ,+1,800277,22313,74,82545,1671,10903482,1071997,10171190 ,Europe
Israel,838892,+7,6377 ,+1,831620,895,80,91208,693,14358336,1561098,9197590  ,Asia
Hungary,791709,+1145,28602 ,+98,568329,194778,403,82133,2967,5528240,573511,9639299 ,Europe
Bangladesh,773513,+1386,11934 ,+56,710162,51417,1118,4657,72,5630894,33902,166092224 ,Asia
Jordan,719976,+743,9092 ,+16,703577,7307,729,69970,884,6839470,664688,10289738 ,Asia
Serbia,700408,+834,6558 ,+19,661398,32452,137,80441,753,3929245,451266,8707154 ,Europe
Switzerland,670613,,10706 ,+2,605260,54647,205,77004,1229,7088449,813943,8708783 ,Europe
Japan,633797,+7766,10823 ,+121,555401,67573,1144,5024,86,12426322,98509,126144121 ,Asia
Austria,631076,+1026,10382 ,+8,603901,16793,409,69729,1147,34504177,3812450,9050395 ,Europe
UAE,536017,+1572,1613 ,+3,516329,18075,,53642,161,45870572,4590501,9992499 ,Asia
Lebanon,532839,+570,7486 ,+26,481968,43385,427,78368,1101,4097623,602663,6799199 ,Asia
Morocco,513864,+236,9072 ,+8,500914,3878,115,13782,243,6337114,169967,37284378 ,Africa
Malaysia,440677,+3733,1683 ,+26,401934,37060,416,13468,51,10055506,307318,32720210 ,Asia
Saudi Arabia,426384,+942,7072 ,+13,409740,9572,1336,12087,200,17527265,496853,35276532 ,Asia
Bulgaria,410202,+241,16929 ,+27,348392,44881,562,59419,2452,2590585,375257,6903494 ,Europe
Ecuador,400296,+1375,19222 ,+85,342878,38196,616,22398,1076,1338265,74882,17871702 ,South America
Nepal,394667,+8777,3720 ,+88,302787,88160,,13341,126,2634504,89053,29583618 ,Asia
Slovakia,385475,+80,12019 ,+29,367921,5535,251,70575,2201,2720699,498122,5461910 ,Europe
Belarus,368888,+1214,2632 ,+10,359687,6569,,39050,279,5996492,634774,9446657 ,Europe
Panama,367656,+386,6271 ,+6,357101,4284,105,84079,1434,2464149,563527,4372724 ,North America
Greece,362004,+1427,11029 ,+51,323458,27517,728,34877,1063,8468558,815906,10379331 ,Europe
Croatia,344494,+665,7469  ,+45,327404,9621,234,84362,1829,1878350,459983,4083518 ,Europe
Kazakhstan,342589,+2350,3913 ,+24,297268,41408,221,18061,206,10455458,551198,18968606 ,Asia
Azerbaijan,326716,+660,4680 ,+14,306119,15917,,31977,458,3330985,326013,10217339 ,Asia
Georgia,321919,+1089,4281 ,+18,300989,16649,,80831,1075,4362839,1095476,3982596 ,Asia
Tunisia,320813,+1301,11429 ,+79,277497,31887,529,26904,958,1361670,114193,11924336 ,Africa
Bolivia,317547,+1394,13205 ,+23,260438,43904,158,26890,1118,1242041,105178,11808990 ,South America
Palestine,301751,+314,3358 ,+7,286385,12008,80,58003,645,1770081,340248,5202328 ,Asia
Paraguay,297789,+1483,7130 ,+80,246680,43979,565,41317,989,1151608,159782,7207388 ,South America
Kuwait,285068,+992,1645 ,+10,269633,13790,210,65920,380,2403736,555844,4324481 ,Asia
Dominican Republic,271548,+948,3532 ,+9,231645,36371,228,24819,323,1441239,131729,10940917 ,North America
Costa Rica,269978,+3463,3409 ,+23,213890,52679,433,52587,664,1033203,201251,5133901 ,North America
Ethiopia,262702,+485,3888 ,+17,210030,48784,740,2238,33,2620593,22325,117385440 ,Africa
Denmark,259056,+874,2497 ,,245562,10997,31,44590,430,42600965,7332760,5809677 ,Europe
Lithuania,257837,+893,4035 ,+9,232076,21726,188,95865,1500,2974312,1105860,2689592 ,Europe
Ireland,252809,+506,4921 ,+2,235273,12615,31,50715,987,4641879,931183,4984926 ,Europe
Moldova,252749,+145,5952 ,+9,243534,3263,170,62780,1478,1019679,253279,4025917 ,Europe
Slovenia,246084,+291,4293 ,+7,232798,8993,129,118356,2065,1205766,579923,2079183 ,Europe
Egypt,237410,+1138,13904 ,+59,176763,46743,90,2283,134,2715258,26113,103979506 ,Africa
Guatemala,235098,+215,7733 ,+16,213641,13724,5,12919,425,1307831,71866,18198073 ,North America
Uruguay,220683,+1883,3122 ,+40,192114,25447,526,63341,896,1909479,548064,3484044 ,South America
Honduras,219288,+958,5617 ,+32,81382,132289,561,21844,560,651677,64914,10039017 ,North America
