Country,Total Cases,New Cases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
USA,33146015,+42040,590707 ,+664,25777927,6777381,9543,99652,1776,447732682,1346092,332616743 ,North America
India,19549656,+392562,215523 ,+3688,15981772,3352361,8944,14052,155,288337385,207247,1391271798 ,Asia
Brazil,14725975,+60013,406565 ,+2278,13242665,1076745,8318,68872,1901,43818216,204935,213815388 ,South America
France,5642359,+25670,104706 ,+192,4590568,947085,5581,86283,1601,76301950,1166808,65393762 ,Europe
Turkey,4849408,+28817,40504 ,+373,4405199,403705,3525,56990,476,47504193,558265,85092490 ,Asia
Russia,4814558,+9270,110520 ,+392,4436583,267455,2300,32979,757,129500000,887068,145986588 ,Europe
UK,4418530,+1907,127524 ,+7,4218172,72834,185,64804,1870,156302824,2292415,68182618 ,Europe
Italy,4035614,+12962,121033 ,+226,3484042,430539,2522,66828,2004,58957954,976323,60387724 ,Europe
Spain,3524077,,78216 ,,3206273,239588,2308,75349,1672,46199597,987807,46769864 ,Europe
Germany,3412373,+20141,83702 ,+160,3012100,316571,5049,40620,996,55490413,660546,84006917 ,Europe
Argentina,2993865,+16502,64096 ,+231,2655359,274410,5370,65741,1407,11209847,246152,45540268 ,South America
Colombia,2877746,+18022,74215 ,+495,2686399,117132,6006,56060,1446,14888382,290034,51333154 ,South America
Poland,2798621,+6473,67924 ,+423,2510858,219839,2723,74014,1796,14321250,378748,37812066 ,Europe
Iran,2516157,+17080,72090 ,+332,1971064,473003,5421,29642,849,15961178,188033,84884809 ,Asia
Mexico,2344755,+3821,216907 ,+460,1864914,262934,4798,18029,1668,6632938,51000,130057448 ,North America
Ukraine,2078086,+8549,44436 ,+351,1670481,363169,177,47756,1021,9456234,217312,43514481 ,Europe
Peru,1804915,+5470,61789 ,+312,1688091,55035,2667,54116,1853,11225924,336582,33352726 ,South America
Indonesia,1672880,+4512,45652 ,+131,1526978,100250,,6063,165,14703659,53289,275924964 ,Asia
Czechia,1632945,+2169,29331 ,+30,1555170,48444,527,152249,2735,18347631,1710651,10725523 ,Europe
South Africa,1582842,+1632,54406 ,+56,1506732,21704,546,26412,908,10682827,178258,59929069 ,Africa
Netherlands,1502107,+5755,17169 ,+21,1263295,221643,792,87503,1000,12274847,715049,17166437 ,Europe
Canada,1227035,+7610,24261 ,+42,1119279,83495,1422,32276,638,31629802,831989,38017069 ,North America
Chile,1204755,+6510,26457 ,+104,1136816,41482,3336,62576,1374,13115985,681260,19252532 ,South America
Iraq,1070366,+5167,15498 ,+33,949341,105527,571,26127,378,9376388,228868,40968539 ,Asia
Romania,1056572,+1307,28194 ,+85,992605,35773,1277,55230,1474,8273925,432498,19130567 ,Europe
Philippines,1046637,+9210,17354 ,+120,957008,72275,750,9447,157,11854425,106998,110790799 ,Asia
Belgium,990229,+3607,24230 ,+45,858268,107731,854,85133,2083,12529895,1077230,11631588 ,Europe
