Country,Total Cases,New Cases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
USA,33369335,+47962,594134 ,+894,26276624,6498577,9279,100314,1786,454453202,1366166,332648503 ,North America
India,21485285,+414433,234071 ,+3920,17597410,3653804,8944,15440,168,296775209,213278,1391494040 ,Asia
Brazil,15009023,+72559,417176 ,+2531,13591335,1000512,8318,70188,1951,46616516,217997,213840120 ,South America
France,5728090,+21712,105866 ,+227,4786973,835251,5231,87591,1619,77792623,1189560,65396123 ,Europe
Turkey,4977982,+22388,42187 ,+304,4626799,308996,3378,58491,496,48712606,572367,85107359 ,Asia
Russia,4855128,+7639,112246 ,+351,4472338,270544,2300,33257,769,130600000,894596,145987611 ,Europe
UK,4428553,+2613,127583  ,+13,4240475,60495,182,64946,1871,161933673,2374796,68188452 ,Europe
Italy,4082193,+11802,122263 ,+258,3557133,402797,2308,67601,2025,60203970,996981,60386272 ,Europe
Spain,3559222,+7960,78726 ,+160,3239382,241114,2212,76100,1683,47213067,1009470,46770160 ,Europe
Germany,3486462,+17014,84811 ,+218,3107300,294351,5049,41500,1010,56836969,676540,84011297 ,Europe
Argentina,3095582,+24086,66263 ,+398,2757230,272089,5299,67964,1455,11610358,254909,45547060 ,South America
Colombia,2951101,+16490,76414 ,+399,2773220,101467,6006,57479,1488,15201520,296083,51342040 ,South America
Poland,2818378,+6431,68992 ,+509,2546751,202635,2334,74538,1825,14546443,384711,37811389 ,Europe
Iran,2610018,+18409,73906 ,+338,2057692,478420,5515,30741,870,16652514,196137,84902433 ,Asia
Mexico,2355985,+3021,218007 ,+267,1877347,260631,4798,18112,1676,6697736,51490,130079641 ,North America
Ukraine,2097024,+6038,45451 ,+374,1711709,339864,177,48196,1045,9555109,219606,43510196 ,Europe
Peru,1832671,+8214,63223 ,+247,1720665,48783,2658,54936,1895,11483598,344230,33360257 ,South America
Indonesia,1697305,+5647,46496 ,+147,1552532,98277,,6150,168,15023292,54438,275972350 ,Asia
Czechia,1641132,+1869,29596 ,+35,1575125,36411,435,153007,2759,19341919,1803300,10725848 ,Europe
South Africa,1590370,+2149,54620 ,+63,1511905,23845,546,26532,911,10805804,180273,59941326 ,Africa
Netherlands,1538589,+6789,17268 ,+23,1295762,225559,806,89625,1006,12762141,743409,17167057 ,Europe
Canada,1265320,+7992,24489 ,+39,1159506,81325,1456,33278,644,32266260,848610,38022488 ,North America
Chile,1229248,+6299,26895 ,+169,1166227,36126,3188,63840,1397,13366644,694183,19255219 ,South America
Iraq,1098187,+6233,15673 ,+33,986134,96380,566,26796,382,9565625,233403,40983371 ,Asia
Philippines,1080152,+6617,17991 ,+191,998933,63228,750,9747,162,12120695,109378,110814711 ,Asia
Romania,1062527,+1632,28710 ,+94,1005623,28194,1100,55547,1501,8381037,438145,19128475 ,Europe
Sweden,1007792,+5712,14137 ,,827637,166018,401,99264,1392,8798383,866609,10152657 ,Europe
Belgium,1003746,+4119,24406 ,+39,876629,102711,794,86289,2098,12759277,1096873,11632413 ,Europe
Pakistan,845833,+4197,18537 ,+108,743124,84172,5107,3767,83,12056986,53703,224512144 ,Asia
Israel,838828,+61,6374 ,+4,831331,1123,87,91201,693,14315208,1556409,9197590 ,Asia
Portugal,838475,+373,16988 ,+5,798952,22535,77,82434,1670,10781631,1059991,10171433 ,Europe
Hungary,787647,+1680,28297 ,+124,546246,213104,485,81710,2936,5475551,568033,9639499 ,Europe
Bangladesh,769160,+1822,11796 ,+41,702163,55201,1120,4631,71,5582263,33612,166078786 ,Asia
Jordan,717930,+1007,9014 ,+26,698201,10715,729,69777,876,6798116,660723,10288909 ,Asia
Serbia,697241,+1366,6499 ,+21,653821,36921,138,80074,746,3894730,447288,8707441 ,Europe
Switzerland,669067,+1687,10695 ,+10,599677,58695,214,76831,1228,7057364,810421,8708265 ,Europe
Austria,627484,+1245,10333 ,+22,597922,19229,434,69335,1142,33702259,3724017,9049975 ,Europe
Japan,616650,+4290,10517 ,+47,542569,63564,1098,4888,83,12150722,96322,126147280 ,Asia
Lebanon,531234,+1017,7415 ,+25,475383,48436,478,78129,1091,4069394,598489,6799448 ,Asia
UAE,530944,+1724,1604 ,+3,511340,18000,,53139,161,45255315,4529372,9991520 ,Asia
Morocco,513016,+360,9049 ,+6,499917,4050,150,13761,243,6311023,169283,37280793 ,Africa
Malaysia,427927,+3551,1610 ,+19,392555,33762,354,13080,49,9821638,300202,32716812 ,Asia
Saudi Arabia,423406,+1090,7032 ,+14,406589,9785,1333,12004,199,17314863,490894,35272085 ,Asia
